 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3537.195,3179,4014,3528.500,1,79,66.753
2,3549.068,3171,4076,3535.000,1,80,66.753
3,3525.120,3189,4016,3519.000,1,81,66.753
4,3549.149,3170,4140,3545.000,1,82,66.753
5,3534.430,3131,4024,3523.500,1,83,66.753
6,3528.691,3234,4320,3515.500,1,84,66.753
7,3528.167,3227,3964,3518.500,1,85,66.753
8,3534.618,3149,4093,3534.000,1,86,66.753
9,3530.512,3157,4034,3523.000,1,87,66.753
10,3518.877,3183,3985,3507.500,1,88,66.753
11,3539.447,3140,4071,3525.500,1,89,66.753
12,3534.676,3184,4055,3526.000,1,90,66.753
13,3533.624,3126,3940,3525.000,1,91,66.753
14,3517.707,3163,4026,3506.500,1,92,66.753
15,3511.750,3162,4028,3508.500,1,93,66.753
16,3514.725,3098,4063,3512.000,1,94,66.753
17,3535.997,3167,4029,3531.000,1,95,66.753
18,3534.253,3189,4031,3524.000,1,96,66.753
19,3530.578,3185,4045,3524.000,1,97,66.753
20,3541.710,3223,4007,3532.000,1,98,66.753
21,3525.901,3200,4011,3512.500,1,99,66.753
22,3531.228,3178,3964,3521.000,1,100,66.753
23,3536.109,3183,4011,3528.000,1,101,66.753
24,3519.923,3178,3978,3512.500,1,102,66.753
25,3529.499,3084,4020,3522.500,1,103,66.753
26,3518.077,3181,3911,3508.500,1,104,66.753
27,3523.627,3200,4029,3520.000,1,105,66.753
28,3518.636,3131,4042,3507.500,1,106,66.753
29,3531.858,3163,4017,3525.500,1,107,66.753
30,3527.639,3147,3953,3520.000,1,108,66.753
31,3515.007,3178,4201,3512.000,1,109,66.753
32,3514.923,3173,4063,3513.000,1,110,66.753
33,3523.132,3116,4041,3519.500,1,111,66.753
34,3523.540,3178,3954,3514.000,1,112,66.753
35,3533.756,3221,4009,3522.000,1,113,66.753
36,3526.507,3162,4096,3523.500,1,114,66.753
37,3521.206,3182,4069,3512.000,1,115,66.753
38,3530.885,3182,4079,3524.000,1,116,66.753
39,3523.049,3076,3973,3514.000,1,117,66.753
40,3529.114,3150,3987,3521.000,1,118,66.753
41,3512.071,3168,4094,3506.500,1,119,66.753
42,3516.195,3149,3986,3512.000,1,120,66.753
43,3514.788,3197,4102,3512.500,1,121,66.753
44,3521.854,3127,4004,3514.000,1,122,66.753
45,3514.797,3098,4032,3501.500,1,123,66.753
46,3517.158,3116,4076,3507.000,1,124,66.753
47,3534.072,3174,4235,3525.000,1,125,66.753
48,3522.114,3083,3991,3510.000,1,126,66.753
49,3540.494,3196,4008,3536.000,1,127,66.753
50,3518.105,3165,3960,3513.500,1,128,66.753
51,3529.633,3128,3996,3525.000,1,129,66.753
52,3525.467,3188,4128,3519.500,1,130,66.753
