 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3314.787,3075,3724,3308.000,1,8,75.443
2,3274.292,3039,3680,3265.000,1,9,76.592
3,3294.878,3005,3717,3288.000,1,10,76.592
4,3295.944,2949,3667,3295.000,1,11,76.592
5,3288.072,3038,3615,3283.000,1,12,72.354
6,3289.307,3007,3669,3287.000,1,13,72.354
7,3292.263,3049,3643,3291.000,1,14,68.633
8,3270.712,3013,3626,3268.000,1,15,68.633
9,3290.859,2980,3618,3287.000,1,16,68.633
10,3288.548,3009,3643,3280.000,1,17,68.633
11,3302.349,3020,3646,3294.000,1,18,68.633
12,3290.719,3052,3578,3283.000,1,19,73.611
13,3295.765,3017,3789,3295.000,1,20,73.611
14,3311.031,3032,3697,3304.500,1,21,73.611
15,3303.584,3035,3700,3297.000,1,22,73.611
16,3268.622,2903,3585,3261.000,1,23,73.611
17,3266.614,3056,3629,3262.000,1,24,74.406
18,3266.395,2959,3569,3262.000,1,25,74.406
19,3273.558,3034,3571,3269.000,1,26,74.406
20,3273.058,3007,3536,3272.000,1,27,74.406
21,3278.622,3001,3631,3279.000,1,28,74.406
22,3274.633,2991,3585,3271.000,1,29,74.406
23,3271.300,2964,3621,3267.000,1,30,74.406
24,3285.237,3015,3596,3283.000,1,31,74.406
25,3285.397,2939,3740,3286.000,1,32,74.406
26,3296.718,2976,3656,3296.500,1,33,74.406
27,3286.671,3029,3563,3284.000,1,34,72.420
28,3291.227,3042,3612,3291.000,1,35,72.420
29,3284.999,3048,3638,3282.000,1,36,72.420
30,3287.860,2957,3670,3285.000,1,37,72.420
31,3309.297,2946,3683,3302.000,1,38,72.420
32,3299.555,3015,3697,3300.000,1,39,72.420
33,3294.951,3039,3653,3292.000,1,40,72.420
34,3307.668,3039,3650,3304.000,1,41,72.420
35,3301.367,3012,3842,3296.000,1,42,72.420
36,3307.853,3045,3714,3309.000,1,43,72.420
37,3292.946,3012,3696,3285.000,1,44,72.420
38,3317.044,3067,3666,3311.000,1,45,72.420
39,3314.718,3085,3686,3307.000,1,46,72.420
40,3303.698,3019,3682,3302.500,1,47,61.086
41,3302.532,3008,3697,3295.000,1,48,62.062
42,3286.599,3056,3590,3284.000,1,49,61.623
43,3289.118,3028,3613,3283.500,1,50,61.623
44,3300.132,3012,3567,3294.000,1,51,61.623
45,3304.935,3073,3628,3302.000,1,52,61.623
46,3301.038,3020,3640,3292.000,1,53,61.623
47,3308.986,3057,3708,3303.500,1,54,61.623
48,3303.482,3022,3646,3299.000,1,55,61.623
49,3305.635,3010,3869,3302.000,1,56,61.623
50,3303.202,3032,3615,3300.500,1,57,61.623
51,3306.917,3016,3651,3307.000,1,58,61.623
52,3312.744,3041,3834,3303.000,1,59,61.623
53,3305.818,3039,3615,3303.500,1,60,61.623
54,3321.153,3009,3715,3309.500,1,61,61.623
55,3299.167,3052,3684,3290.500,1,62,61.623
56,3293.204,3023,3602,3290.000,1,63,61.623
57,3301.930,2995,3713,3296.000,1,64,61.623
58,3312.215,3047,3681,3306.000,1,65,61.623
59,3305.460,3008,3748,3303.000,1,66,61.623
60,3325.530,3094,3741,3324.000,1,67,61.623
61,3332.451,3069,3761,3331.000,1,68,61.623
62,3310.059,3074,3619,3305.000,1,69,61.623
63,3322.366,3015,3733,3313.000,1,70,61.623
64,3318.358,3011,3774,3315.500,1,71,61.623
65,3341.744,3099,3765,3336.500,1,72,61.623
66,3356.600,3076,3834,3348.000,1,73,61.623
67,3361.419,3025,3983,3350.000,1,74,61.623
68,3364.371,3045,3920,3355.500,1,75,61.623
69,3353.624,3040,3860,3341.000,1,76,61.623
70,3356.449,3085,3899,3349.500,1,77,61.623
71,3377.325,3025,3953,3365.000,1,78,61.623
72,3343.107,2999,3816,3324.500,1,79,61.623
73,3355.299,3081,3910,3343.500,1,80,61.623
74,3371.750,2956,3887,3353.000,1,81,61.623
75,3377.782,3007,4098,3360.000,1,82,61.623
76,3381.885,3052,3825,3373.500,1,83,61.623
77,3374.361,3056,3868,3365.500,1,84,61.623
78,3379.371,3016,4060,3366.000,1,85,61.623
79,3401.626,3080,3956,3395.500,1,86,61.623
80,3399.274,3071,3898,3386.000,1,87,61.623
81,3383.768,3034,3933,3371.500,1,88,61.623
82,3396.521,3117,4163,3382.000,1,89,61.623
83,3392.842,3071,4247,3377.000,1,90,61.623
84,3398.951,3078,4159,3380.000,1,91,61.623
85,3405.403,3042,4160,3388.500,1,92,61.623
86,3410.989,3118,3929,3396.500,1,93,61.623
87,3390.725,3065,3995,3381.000,1,94,61.623
88,3411.083,3061,4205,3386.000,1,95,61.623
89,3398.688,3000,4344,3381.000,1,96,61.623
90,3409.732,3088,4141,3396.500,1,97,61.623
91,3420.428,3136,4296,3403.000,1,98,61.623
92,3419.775,3098,4256,3394.000,1,99,61.623
93,3413.107,3093,4279,3388.500,1,100,61.623
94,3408.451,3006,4378,3389.500,1,101,61.623
95,3412.914,3092,4344,3392.500,1,102,61.623
96,3429.670,3063,4562,3409.000,1,103,61.623
97,3437.990,3031,4420,3409.500,1,104,61.623
98,3421.836,3035,4369,3393.000,1,105,61.623
99,3432.600,3079,4437,3406.000,1,106,61.623
100,3468.086,3096,4752,3441.000,1,107,63.192
101,3443.229,3111,4598,3419.000,1,108,63.192
102,3447.160,3030,4706,3415.000,1,109,63.192
103,3457.352,3105,4450,3433.000,1,110,63.192
104,3442.695,3036,4569,3413.500,1,111,63.192
105,3469.056,3070,4993,3432.500,1,112,63.192
106,3460.093,3029,4495,3423.000,1,113,63.192
107,3471.925,3104,4413,3438.000,1,114,63.192
108,3474.223,3072,4760,3441.000,1,115,63.192
109,3481.299,3048,4624,3442.500,1,116,63.192
110,3482.417,3104,4715,3452.500,1,117,63.192
111,3480.207,3105,4308,3444.000,1,118,63.192
112,3476.500,3100,4619,3445.500,1,119,63.192
113,3505.407,3073,4672,3465.000,1,120,60.723
114,3518.021,3142,4467,3486.000,1,121,60.723
115,3506.819,3114,4686,3480.000,1,122,60.723
116,3524.204,3105,4486,3491.000,1,123,60.723
117,3521.721,3119,4310,3487.000,1,124,60.723
118,3507.031,3098,4499,3469.000,1,125,60.723
119,3524.556,3094,4616,3486.000,1,126,60.723
120,3525.401,3125,4465,3486.000,1,127,60.723
121,3531.809,3106,4435,3485.000,1,128,60.723
122,3547.856,3165,4912,3507.000,1,129,60.723
123,3548.604,3095,4409,3502.000,1,130,60.723
124,3550.590,3179,4565,3500.000,1,131,60.723
125,3547.819,3083,4592,3508.000,1,132,60.723
126,3555.509,3093,4564,3498.000,1,133,60.723
127,3545.338,3085,4671,3497.000,1,134,60.723
128,3557.691,3069,4816,3505.000,1,135,60.723
129,3574.546,3103,4840,3512.000,1,136,60.723
130,3558.746,3137,5213,3494.000,1,137,60.723
131,3587.520,3118,5120,3511.000,1,138,60.723
132,3587.428,3074,5037,3518.000,1,139,60.723
133,3591.026,3093,4797,3521.000,1,140,61.028
134,3563.570,3133,5403,3495.000,1,141,61.028
135,3570.483,3087,5399,3503.000,1,142,61.028
