 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3581.698,3253,4266,3569.000,1,1,64.031
2,3583.503,3231,4176,3572.500,1,2,64.031
3,3581.703,3165,4203,3570.000,1,3,64.031
4,3577.680,3205,4250,3566.000,1,4,64.031
5,3597.577,3214,4148,3580.000,1,5,64.031
6,3576.930,3216,4237,3562.000,1,6,66.753
7,3560.771,3174,4071,3554.000,1,7,66.753
8,3578.516,3235,4204,3571.000,1,8,66.753
9,3545.513,3183,4030,3535.500,1,9,66.753
10,3557.717,3178,4203,3548.000,1,10,66.753
11,3559.654,3218,4077,3545.000,1,11,66.753
12,3559.533,3212,4097,3551.500,1,12,66.753
13,3541.570,3223,4063,3533.500,1,13,66.753
14,3553.757,3152,4040,3539.500,1,14,66.753
15,3572.969,3182,4028,3566.000,1,15,66.753
16,3560.010,3106,4126,3551.000,1,16,66.753
17,3555.722,3200,4063,3548.000,1,17,66.753
18,3541.183,3176,4085,3537.000,1,18,66.753
19,3543.633,3171,4034,3527.500,1,19,66.753
20,3550.876,3184,4043,3541.500,1,20,66.753
21,3546.074,3174,4226,3537.500,1,21,66.753
22,3571.357,3222,4294,3560.500,1,22,66.753
23,3550.731,3158,4027,3547.000,1,23,66.753
24,3542.398,3149,4121,3538.000,1,24,66.753
25,3552.169,3091,4038,3546.000,1,25,66.753
26,3552.762,3175,4010,3546.000,1,26,66.753
27,3542.482,3185,3959,3535.000,1,27,66.753
28,3540.791,3178,4130,3537.500,1,28,66.753
29,3543.783,3188,4275,3537.500,1,29,66.753
30,3531.089,3126,4104,3528.500,1,30,66.753
31,3540.149,3146,3915,3536.500,1,31,66.753
32,3547.862,3126,4065,3541.000,1,32,66.753
33,3554.290,3170,4126,3544.500,1,33,66.753
34,3559.396,3205,4157,3549.500,1,34,66.753
35,3536.700,3151,4067,3533.000,1,35,66.753
36,3546.484,3047,4103,3533.000,1,36,66.753
37,3549.538,3182,3988,3543.000,1,37,66.753
38,3552.260,3180,3995,3543.500,1,38,66.753
39,3541.006,3155,4032,3531.000,1,39,66.753
40,3541.902,3216,4128,3532.000,1,40,66.753
41,3545.306,3129,4111,3535.000,1,41,66.753
42,3543.717,3170,3984,3535.000,1,42,66.753
43,3554.843,3161,4068,3544.000,1,43,66.753
44,3537.095,3196,4156,3527.000,1,44,66.753
45,3536.627,3187,4105,3529.000,1,45,66.753
46,3542.709,3159,3985,3534.000,1,46,66.753
47,3535.930,3146,3980,3524.000,1,47,66.753
48,3537.898,3134,3982,3529.000,1,48,66.753
49,3543.420,3155,4203,3541.000,1,49,66.753
50,3546.602,3212,4061,3538.000,1,50,66.753
