 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3548.049,3211,4216,3534.000,1,59,62.458
2,3573.783,3139,4100,3558.000,1,60,62.458
3,3573.055,3220,4208,3554.000,1,61,62.458
4,3579.168,3190,4459,3560.000,1,62,62.458
5,3581.862,3143,4492,3560.000,1,63,62.458
6,3588.785,3159,4302,3575.000,1,64,62.458
7,3584.873,3154,4632,3572.000,1,65,62.458
8,3569.791,3173,4262,3556.000,1,66,62.458
9,3596.456,3149,4521,3579.000,1,67,62.458
10,3601.492,3203,4627,3576.000,1,68,62.458
11,3579.124,3158,4425,3551.000,1,69,62.458
12,3596.417,3201,4579,3580.000,1,70,62.458
13,3588.119,3044,4705,3575.000,1,71,62.458
14,3594.151,3145,4495,3577.000,1,72,62.458
15,3593.445,3202,4605,3561.500,1,73,62.458
16,3590.664,3220,4556,3565.000,1,74,62.458
17,3617.232,3204,4696,3592.000,1,75,62.284
18,3616.093,3215,4522,3591.000,1,76,63.461
19,3616.782,3128,4543,3600.000,1,77,61.241
20,3598.850,3166,4577,3577.000,1,78,61.540
21,3622.390,3213,4937,3596.000,1,79,58.734
22,3603.601,3162,4745,3575.000,1,80,60.046
23,3604.223,3183,4419,3581.500,1,81,60.365
24,3597.599,3134,4624,3575.000,1,82,59.624
25,3615.737,3128,4614,3596.000,1,83,59.093
26,3591.422,3180,4771,3578.500,1,84,58.330
27,3603.575,3154,5033,3573.000,1,85,59.842
28,3602.747,3159,5041,3583.500,1,86,59.426
29,3619.889,3139,4720,3588.000,1,87,58.294
30,3620.779,3135,4629,3597.500,1,88,59.593
31,3598.402,3160,4662,3578.500,1,89,58.751
32,3620.882,3199,4698,3593.500,1,90,55.943
33,3648.853,3218,4880,3624.500,1,91,56.007
34,3629.265,3177,4619,3613.500,1,92,56.007
35,3623.974,3171,4301,3602.000,1,93,56.007
36,3615.609,3216,4903,3596.500,1,94,56.007
37,3607.881,3150,4630,3598.500,1,95,56.007
38,3609.770,3202,4615,3593.500,1,96,56.007
39,3610.725,3158,4453,3593.500,1,97,56.007
40,3612.039,3205,4742,3596.000,1,98,56.007
41,3602.732,3247,4524,3582.000,1,99,56.007
42,3598.753,3167,4578,3578.000,1,100,56.007
43,3608.682,3267,4300,3594.000,1,101,56.007
44,3614.965,3198,4516,3599.000,1,102,56.038
45,3606.201,3218,4337,3584.500,1,103,56.499
46,3616.266,3173,4658,3590.000,1,104,56.836
47,3624.209,3194,4486,3602.000,1,105,56.498
48,3631.390,3193,4509,3619.000,1,106,57.947
49,3614.036,3151,4298,3594.000,1,107,57.501
50,3617.412,3166,4358,3599.500,1,108,59.321
51,3615.830,3152,4430,3599.500,1,109,56.720
52,3621.664,3131,4298,3594.500,1,110,54.963
53,3630.941,3213,4694,3610.500,1,111,54.963
54,3628.970,3176,4307,3604.500,1,112,54.963
55,3622.361,3201,4426,3588.500,1,113,54.963
56,3627.012,3203,4532,3600.500,1,114,54.963
57,3635.145,3135,4417,3620.500,1,115,54.963
58,3627.036,3138,4393,3595.000,1,116,54.963
59,3643.827,3190,4431,3602.000,1,117,54.963
60,3631.479,3197,4570,3591.500,1,118,54.963
61,3623.068,3148,4355,3599.000,1,119,54.963
62,3624.752,3147,4500,3594.500,1,120,54.963
63,3611.032,3188,4246,3592.500,1,121,54.963
