 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3525.776,3100,4054,3519.000,1,42,123.415
2,3536.645,3148,4153,3530.000,1,43,123.415
3,3530.670,3158,4191,3521.500,1,44,123.415
4,3532.474,3216,4103,3524.000,1,45,123.415
5,3528.111,3127,4149,3514.000,1,46,123.415
6,3530.666,3147,3992,3526.000,1,47,123.415
7,3536.588,3131,4008,3531.000,1,48,123.415
8,3530.893,3141,4052,3525.000,1,49,123.415
9,3537.547,3136,4060,3530.000,1,50,123.415
10,3539.209,3137,4017,3525.000,1,51,123.415
11,3542.352,3165,4162,3531.000,1,52,123.415
12,3531.867,3146,4081,3518.000,1,53,123.415
13,3532.064,3159,4091,3521.500,1,54,123.415
14,3545.359,3191,4138,3530.500,1,55,123.415
15,3527.909,3151,4166,3514.000,1,56,123.415
16,3552.305,3158,4293,3539.000,1,57,123.415
17,3541.848,3120,4106,3531.000,1,58,123.415
18,3533.276,3152,4157,3522.500,1,59,123.415
19,3542.181,3164,4171,3527.000,1,60,123.415
20,3523.476,3101,4137,3515.000,1,61,123.415
21,3529.065,3148,4225,3517.000,1,62,123.415
22,3552.874,3160,4432,3532.500,1,63,123.415
23,3515.149,3185,4062,3503.000,1,64,104.523
24,3514.250,3192,3956,3507.000,1,65,104.523
25,3502.713,3141,3963,3494.000,1,66,104.523
26,3518.439,3183,4241,3510.000,1,67,104.523
27,3516.705,3074,4013,3507.000,1,68,104.523
28,3511.843,3117,4072,3497.000,1,69,104.523
29,3514.647,3108,3983,3507.000,1,70,104.523
30,3496.850,3167,3977,3484.000,1,71,104.523
31,3499.262,3158,4041,3491.000,1,72,104.523
32,3500.052,3085,3994,3491.000,1,73,104.523
33,3509.547,3198,4032,3499.000,1,74,104.523
34,3493.101,3101,3939,3488.000,1,75,104.523
35,3500.223,3127,3934,3491.000,1,76,104.523
36,3509.103,3104,3992,3500.000,1,77,104.523
37,3493.737,3151,4005,3481.000,1,78,104.523
38,3486.629,3114,4007,3475.000,1,79,104.523
39,3501.132,3148,3956,3491.000,1,80,104.523
40,3497.055,3131,4153,3484.000,1,81,104.523
41,3495.962,3113,3987,3485.000,1,82,104.523
42,3484.757,3097,3979,3479.000,1,83,104.523
43,3477.394,3122,3926,3470.000,1,84,104.523
44,3476.768,3131,3959,3471.000,1,85,104.523
45,3492.441,3080,4020,3481.000,1,86,104.523
46,3487.009,3169,3987,3476.000,1,87,104.523
47,3493.979,3137,3938,3486.000,1,88,104.523
48,3483.659,3125,4052,3477.000,1,89,104.523
49,3498.132,3173,4041,3490.000,1,90,104.523
50,3497.214,3155,4020,3479.000,1,91,104.523
51,3490.781,3130,4088,3486.000,1,92,104.523
52,3480.878,3114,4116,3472.000,1,93,104.523
