 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3582.981,3219,4187,3570.000,1,1,72.275
2,3570.840,3209,4304,3561.500,1,2,75.385
3,3539.827,3092,4158,3532.000,1,3,75.385
4,3546.903,3159,4041,3538.000,1,4,75.385
5,3580.007,3202,4200,3562.500,1,5,68.158
6,3558.888,3181,4105,3558.000,1,6,68.158
7,3566.210,3167,4086,3561.000,1,7,68.158
8,3530.433,3185,4036,3509.000,1,8,63.653
9,3542.333,3173,4081,3528.000,1,9,54.743
10,3527.362,3092,4100,3525.000,1,10,59.938
11,3516.964,3155,4023,3505.000,1,11,66.386
12,3516.046,3147,3916,3509.000,1,12,64.368
13,3494.301,3085,4010,3475.000,1,13,66.478
14,3515.308,3171,4033,3505.500,1,14,66.478
15,3508.906,3185,4055,3501.000,1,15,71.247
16,3519.295,3128,3955,3510.500,1,16,71.247
17,3514.777,3143,4039,3490.000,1,17,66.147
18,3526.324,3189,4037,3516.000,1,18,66.147
19,3539.654,3163,4075,3528.000,1,19,66.147
20,3525.948,3172,4092,3520.000,1,20,73.826
21,3484.181,3121,3959,3467.000,1,21,76.870
22,3520.783,3146,3977,3515.000,1,22,76.870
23,3533.304,3209,4331,3520.000,1,23,80.004
24,3527.677,3142,4012,3521.000,1,24,80.004
25,3549.879,3167,4054,3550.500,1,25,80.004
26,3561.528,3167,4199,3555.500,1,26,80.004
27,3552.231,3177,4165,3545.500,1,27,77.210
28,3571.340,3148,4070,3555.500,1,28,77.210
29,3561.754,3225,4220,3549.500,1,29,77.210
30,3563.514,3214,4253,3561.000,1,30,77.210
31,3569.463,3152,4124,3557.000,1,31,77.210
32,3580.185,3176,4180,3566.000,1,32,77.210
33,3580.739,3190,4379,3566.000,1,33,77.210
34,3549.942,3169,4125,3543.000,1,34,78.596
35,3568.642,3121,4165,3555.000,1,35,78.596
36,3569.605,3177,4276,3549.000,1,36,78.596
37,3567.769,3184,4173,3554.000,1,37,78.596
38,3548.336,3190,4137,3537.000,1,38,72.321
39,3551.385,3162,4217,3543.000,1,39,72.321
40,3555.430,3187,4059,3545.000,1,40,72.321
41,3584.012,3148,4327,3573.000,1,41,73.097
42,3589.247,3174,4386,3574.000,1,42,73.097
43,3580.258,3071,4272,3568.000,1,43,73.097
44,3611.179,3207,4164,3601.000,1,44,73.097
45,3604.854,3192,4156,3594.000,1,45,73.097
46,3602.649,3194,4104,3586.000,1,46,73.097
47,3601.799,3206,4313,3585.000,1,47,73.097
48,3564.883,3137,4364,3547.000,1,48,70.074
49,3595.495,3184,4391,3589.000,1,49,70.074
50,3612.729,3171,4322,3596.000,1,50,70.074
51,3621.829,3213,4545,3597.000,1,51,70.074
52,3626.463,3161,4450,3599.000,1,52,70.074
53,3624.121,3154,4521,3604.000,1,53,70.074
54,3616.494,3187,4355,3602.000,1,54,70.074
55,3612.148,3237,4162,3597.000,1,55,70.074
56,3618.271,3156,4300,3603.000,1,56,70.074
57,3610.667,3221,4314,3594.000,1,57,70.074
58,3628.144,3161,4519,3610.000,1,58,70.074
59,3598.307,3139,4275,3573.000,1,59,70.074
60,3589.320,3192,4272,3569.000,1,60,69.606
61,3604.992,3151,4257,3582.000,1,61,69.606
62,3592.963,3173,4449,3575.000,1,62,74.307
63,3609.652,3108,4480,3581.000,1,63,74.307
64,3603.039,3189,4413,3588.000,1,64,74.307
65,3639.079,3189,4541,3617.000,1,65,74.307
66,3649.101,3161,5075,3614.000,1,66,74.307
67,3619.528,3210,4764,3571.000,1,67,72.641
68,3638.757,3141,5138,3589.000,1,68,75.762
69,3663.813,3205,4868,3608.000,1,69,75.762
70,3690.153,3208,4825,3645.000,1,70,75.762
71,3679.486,3193,4815,3635.500,1,71,75.762
72,3685.082,3145,4936,3641.000,1,72,75.762
73,3703.516,3186,5352,3653.500,1,73,72.851
74,3696.399,3137,4894,3649.000,1,74,72.851
75,3714.110,3172,4978,3654.500,1,75,72.851
76,3676.065,3177,5127,3618.000,1,76,72.229
77,3701.135,3147,5534,3633.000,1,77,72.229
78,3725.947,3189,5468,3651.000,1,78,72.229
79,3738.559,3131,5667,3664.000,1,79,72.095
80,3761.261,3188,5111,3677.500,1,80,72.095
81,3777.609,3117,5152,3688.000,1,81,70.783
82,3786.429,3183,5709,3709.000,1,82,72.381
83,3785.840,3187,5562,3706.000,1,83,72.381
84,3790.099,3150,6165,3698.000,1,84,72.381
85,3820.469,3183,5995,3724.000,1,85,72.381
86,3812.012,3238,6021,3708.000,1,86,72.381
87,3774.331,3171,6245,3655.000,1,87,72.381
88,3773.268,3216,6004,3655.000,1,88,69.330
89,3764.716,3154,5872,3640.500,1,89,69.330
90,3798.361,3185,6110,3698.000,1,90,65.566
91,3732.094,3111,5582,3625.000,1,91,69.330
92,3790.769,3171,6039,3701.000,1,92,65.485
93,3804.892,3190,5942,3693.000,1,93,62.904
94,3809.070,3150,5723,3700.000,1,94,62.904
95,3797.049,3217,6194,3707.000,1,95,62.904
96,3786.227,3165,6076,3689.000,1,96,62.904
97,3804.842,3215,5539,3704.000,1,97,62.904
98,3800.676,3138,5735,3709.000,1,98,62.904
99,3767.926,3164,6230,3671.000,1,99,62.904
100,3731.216,3146,6058,3627.000,1,100,62.904
101,3690.953,3156,6242,3571.000,1,101,62.904
102,3671.273,3100,6076,3560.000,1,102,61.652
103,3603.358,3123,5943,3511.000,1,103,61.652
104,3637.433,3128,5600,3559.000,1,104,61.652
105,3607.363,3135,6148,3528.000,1,105,61.652
106,3751.290,3286,4875,3706.000,1,106,58.588
107,3769.213,3265,4904,3720.000,1,107,58.588
108,3728.596,3243,5326,3692.500,1,108,58.588
109,3729.517,3283,5116,3687.500,1,109,58.588
110,3733.723,3245,5060,3681.000,1,110,58.588
111,3730.300,3231,5685,3685.500,1,111,58.588
112,3745.215,3221,5881,3686.500,1,112,58.588
113,3737.861,3254,5803,3672.000,1,113,58.588
114,3730.752,3212,5892,3680.000,1,114,58.588
115,3732.012,3193,5700,3670.500,1,115,58.588
116,3726.800,3192,6209,3675.500,1,116,58.588
117,3718.200,3187,5406,3661.000,1,117,58.588
118,3725.411,3141,5773,3662.500,1,118,58.588
119,3732.963,3163,5494,3670.000,1,119,58.588
120,3716.027,3204,5511,3658.000,1,120,58.588
121,3698.230,3247,5178,3643.500,1,121,58.588
122,3680.542,3174,5675,3619.000,1,122,58.588
123,3677.126,3223,5718,3633.000,1,123,58.588
124,3701.060,3130,5324,3652.500,1,124,58.588
125,3730.253,3240,5800,3688.000,1,125,58.588
126,3755.099,3250,5818,3692.500,1,126,58.588
127,3731.243,3251,5667,3675.000,1,127,58.588
128,3733.025,3196,6097,3679.500,1,128,58.588
129,3719.044,3293,5487,3659.000,1,129,58.588
130,3700.987,3256,5928,3644.500,1,130,58.588
131,3738.706,3181,5976,3700.000,1,131,58.588
132,3705.658,3195,5040,3664.500,1,132,58.588
133,3691.144,3211,5632,3643.000,1,133,58.588
134,3723.664,3193,5451,3664.500,1,134,58.588
135,3725.723,3160,5257,3673.000,1,135,58.588
136,3733.357,3280,5362,3673.000,1,136,58.588
137,3718.705,3253,5193,3666.500,1,137,58.588
138,3718.049,3219,5044,3675.500,1,138,58.588
139,3724.270,3199,5818,3662.000,1,139,58.588
140,3745.045,3172,5124,3691.500,1,140,58.588
141,3714.653,3251,4903,3668.500,1,141,58.588
142,3677.775,3213,5044,3645.000,1,142,58.588
143,3662.609,3179,4918,3620.000,1,143,58.588
144,3653.810,3238,5122,3624.500,1,144,58.588
145,3715.098,3225,5001,3668.000,1,145,57.124
146,3704.255,3195,5073,3651.000,1,146,57.124
147,3711.074,3247,5250,3665.000,1,147,57.124
148,3728.590,3273,5188,3670.000,1,148,57.124
149,3732.136,3174,4917,3691.000,1,149,57.124
150,3715.208,3214,4907,3664.000,1,150,57.124
151,3769.759,3175,5225,3722.000,1,151,57.124
152,3764.614,3288,5349,3694.000,1,152,57.124
153,3724.792,3222,5097,3672.000,1,153,57.124
154,3725.391,3187,5570,3669.000,1,154,57.124
155,3707.599,3264,4933,3654.000,1,155,57.124
156,3687.578,3121,4927,3642.000,1,156,57.124
157,3690.520,3265,5139,3634.000,1,157,57.124
158,3694.707,3165,5021,3645.000,1,158,57.124
159,3682.854,3174,5797,3616.000,1,159,57.124
160,3670.649,3191,4912,3603.000,1,160,57.124
161,3652.017,3114,5479,3608.000,1,161,57.124
162,3641.609,3241,4918,3597.000,1,162,57.124
163,3628.547,3188,4743,3585.000,1,163,57.124
164,3647.640,3233,4881,3594.000,1,164,57.124
165,3644.203,3197,5178,3602.000,1,165,57.124
166,3682.661,3214,5227,3620.000,1,166,56.918
167,3690.127,3092,5344,3630.000,1,167,56.918
168,3713.661,3132,6182,3641.500,1,168,56.740
169,3685.911,3130,5743,3609.000,1,169,56.740
170,3728.276,3239,5487,3673.000,1,170,57.443
171,3716.670,3254,5879,3671.000,1,171,57.443
172,3702.179,3171,5135,3662.500,1,172,57.443
173,3715.405,3127,5243,3682.000,1,173,55.311
174,3705.794,3179,5403,3655.000,1,174,55.311
175,3709.517,3183,5117,3668.000,1,175,55.311
176,3695.246,3220,5373,3654.000,1,176,54.747
177,3690.368,3176,5856,3657.000,1,177,54.747
178,3698.402,3268,5323,3671.000,1,178,54.747
