 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3482.649,3118,4053,3471,1,1,101.987
2,3482.394,3104,3987,3473,1,2,101.987
3,3473.391,3125,3951,3466,1,3,101.987
4,3464.825,3127,4051,3450,1,4,101.987
5,3468.031,3048,4118,3461,1,5,101.987
6,3486.788,3066,4056,3475,1,6,101.987
7,3501.911,3155,4160,3496,1,7,101.987
8,3496.968,3156,4045,3485,1,8,101.987
9,3462.521,3114,4001,3457,1,9,101.987
10,3462.919,3109,4104,3457,1,10,101.987
11,3474.850,3116,3992,3461,1,11,101.987
12,3472.729,3113,4033,3462,1,12,101.987
13,3461.770,3137,3956,3451,1,13,101.987
14,3459.594,3139,3988,3452,1,14,101.987
15,3455.028,3133,3893,3445,1,15,101.987
16,3458.958,3133,4067,3456,1,16,101.987
17,3477.499,3161,4021,3471,1,17,101.987
18,3475.625,3152,3964,3468,1,18,101.987
19,3474.777,3088,4013,3464,1,19,101.987
20,3468.517,3086,3932,3459,1,20,101.987
21,3464.159,3120,3941,3456,1,21,101.987
22,3464.371,3117,3930,3460,1,22,101.987
23,3466.229,3156,3942,3457,1,23,101.987
24,3469.206,3134,3888,3462,1,24,101.987
25,3473.200,3157,3893,3466,1,25,101.987
26,3475.614,3061,4147,3466,1,26,101.987
27,3482.516,3095,3897,3476,1,27,101.987
28,3467.071,3119,4030,3458,1,28,101.987
29,3489.039,3137,4127,3478,1,29,101.987
30,3467.297,3124,4090,3458,1,30,101.987
31,3467.575,3156,3909,3458,1,31,101.987
32,3474.672,3143,4000,3469,1,32,101.987
33,3447.938,3066,3958,3437,1,33,101.987
34,3455.792,3067,4046,3447,1,34,101.987
35,3461.307,3154,3899,3455,1,35,101.987
36,3459.740,3066,3994,3453,1,36,101.987
37,3468.434,3142,4075,3461,1,37,101.987
38,3470.031,3149,3954,3460,1,38,101.987
39,3467.971,3130,4030,3455,1,39,101.987
40,3459.371,3105,3899,3452,1,40,101.987
41,3458.219,3098,4014,3455,1,41,101.987
42,3444.505,3136,3889,3434,1,42,101.987
43,3463.788,3102,4015,3461,1,43,101.987
44,3449.705,3100,4056,3441,1,44,101.987
45,3449.257,3055,3981,3443,1,45,101.987
46,3455.707,3155,3997,3449,1,46,101.987
47,3438.033,3044,3881,3434,1,47,101.987
48,3444.267,3115,4018,3435,1,48,101.987
49,3454.179,3102,4121,3451,1,49,101.987
50,3456.683,3157,3917,3446,1,50,101.987
51,3444.033,3112,3954,3437,1,51,101.987
52,3457.105,3122,4064,3449,1,52,101.987
53,3449.051,3127,3907,3442,1,53,101.987
54,3451.401,3079,3875,3443,1,54,101.987
55,3445.638,3113,3893,3441,1,55,101.987
56,3454.425,3124,3966,3451,1,56,101.987
57,3449.318,3091,4113,3437,1,57,101.987
58,3449.330,3160,3913,3439,1,58,101.987
59,3453.980,3112,3885,3436,1,59,101.987
60,3427.957,3053,3992,3415,1,60,101.987
61,3438.086,3109,3942,3429,1,61,101.987
62,3442.181,3095,3956,3431,1,62,101.987
63,3439.277,3146,3877,3431,1,63,101.987
64,3438.982,3115,3912,3432,1,64,101.987
65,3449.552,3155,3963,3437,1,65,101.987
66,3448.690,3112,4062,3439,1,66,101.987
67,3444.828,3148,3927,3437,1,67,101.987
68,3436.290,3134,3873,3428,1,68,101.987
69,3428.584,3062,3855,3421,1,69,101.987
70,3437.728,3126,3872,3432,1,70,101.987
71,3444.658,3058,3824,3438,1,71,101.987
72,3439.738,3061,3819,3434,1,72,101.987
73,3445.895,3041,3948,3437,1,73,101.987
74,3421.267,3097,4043,3416,1,74,101.987
75,3444.687,3108,3923,3435,1,75,101.987
76,3423.623,3056,3802,3415,1,76,101.987
77,3430.873,3072,3931,3425,1,77,101.987
78,3436.214,3107,3993,3427,1,78,101.987
79,3428.190,3096,3864,3424,1,79,101.987
80,3433.715,3106,3918,3423,1,80,101.987
81,3431.229,3161,3871,3422,1,81,101.987
82,3426.976,3134,3847,3415,1,82,101.987
83,3441.895,3111,4043,3437,1,83,101.987
84,3422.854,3078,3862,3416,1,84,101.987
85,3443.153,3148,3893,3438,1,85,101.987
