 ,Mean,Min,Max,Angle,Median,Ch,Frame,Length
1,3513.133,3203,3901,-121.675,3505.000,1,1,55.227
2,3510.055,3174,3977,-121.675,3497.000,1,2,55.227
3,3468.789,3141,3957,-121.675,3455.500,1,3,55.227
4,3464.791,3144,3959,-121.675,3456.000,1,4,55.227
5,3497.434,3145,3894,-121.675,3482.500,1,5,55.227
6,3491.787,3134,3957,-121.675,3480.000,1,6,55.227
7,3502.816,3116,3995,-121.675,3497.000,1,7,55.227
8,3501.986,3154,4064,-121.675,3490.000,1,8,55.227
9,3490.557,3113,4035,-121.675,3477.500,1,9,55.227
10,3479.890,3152,3989,-121.675,3469.000,1,10,55.227
11,3464.862,3098,3902,-121.675,3452.000,1,11,55.227
12,3459.225,3144,3982,-121.675,3443.000,1,12,55.227
13,3470.317,3141,4012,-121.675,3470.500,1,13,55.227
14,3469.348,3162,4232,-121.675,3461.500,1,14,55.227
15,3477.504,3097,3892,-121.675,3468.000,1,15,55.227
16,3484.848,3134,3945,-121.675,3474.000,1,16,55.227
17,3481.445,3124,4042,-121.675,3466.000,1,17,55.227
18,3496.174,3102,3981,-121.675,3482.500,1,18,55.227
19,3471.899,3099,4116,-121.675,3468.000,1,19,55.227
20,3469.239,3105,3915,-121.675,3460.500,1,20,55.227
21,3471.291,3087,3874,-121.675,3464.500,1,21,55.227
22,3513.863,3120,4187,-121.675,3505.000,1,22,55.227
23,3499.149,3095,3982,-121.675,3487.000,1,23,55.227
24,3500.743,3146,4073,-121.675,3487.000,1,24,55.227
25,3486.594,3148,4183,-121.675,3474.500,1,25,55.227
26,3497.830,3105,4147,-121.675,3482.000,1,26,55.227
27,3487.363,3055,4035,-121.675,3478.000,1,27,55.227
28,3485.307,3069,4007,-121.675,3476.500,1,28,55.227
29,3485.755,3195,4007,-121.675,3471.500,1,29,55.227
30,3481.326,3160,3914,-121.675,3466.500,1,30,55.227
31,3494.468,3087,3876,-121.675,3488.000,1,31,55.227
