 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3367.747,3066,3769,3356.000,1,6,60.836
2,3346.909,3093,3793,3344.000,1,7,60.836
3,3332.515,3079,3685,3325.500,1,8,60.836
4,3336.857,3007,3789,3336.500,1,9,60.836
5,3333.196,2988,3715,3323.500,1,10,60.836
6,3342.484,3035,3692,3333.000,1,11,60.836
7,3353.568,3036,3693,3351.500,1,12,60.836
8,3337.959,3092,3704,3330.000,1,13,60.836
9,3356.502,2988,3745,3351.500,1,14,60.836
10,3363.362,3114,3778,3356.000,1,15,60.836
11,3347.942,3071,3732,3337.500,1,16,60.836
12,3347.351,3065,3772,3341.000,1,17,66.502
13,3354.016,3061,3717,3343.000,1,18,66.502
14,3346.379,3072,3724,3343.500,1,19,66.502
15,3353.991,3071,3728,3348.000,1,20,66.502
16,3364.858,3069,3941,3359.000,1,21,66.502
17,3342.584,3077,3730,3334.500,1,22,66.502
18,3337.572,3018,3715,3330.500,1,23,66.502
19,3351.161,3092,3762,3343.000,1,24,66.502
20,3344.096,3068,3831,3338.000,1,25,66.502
21,3344.757,3044,3707,3338.500,1,26,66.502
22,3332.383,3089,3719,3328.000,1,27,66.502
23,3337.959,3058,3680,3329.000,1,28,66.502
24,3338.959,3059,3750,3335.000,1,29,66.502
25,3350.229,3068,3764,3341.500,1,30,66.502
26,3346.454,3042,3695,3337.500,1,31,66.502
27,3348.321,3044,3743,3345.000,1,32,66.502
28,3340.365,3054,3745,3335.500,1,33,66.502
29,3337.484,3022,3722,3334.000,1,34,66.502
30,3328.617,3039,3800,3328.000,1,35,66.502
31,3339.169,3072,3711,3331.000,1,36,66.502
32,3330.090,3065,3626,3330.000,1,37,66.502
33,3339.870,2979,3703,3334.000,1,38,66.502
34,3330.383,3021,3644,3325.000,1,39,66.502
35,3337.392,3012,3748,3328.000,1,40,66.502
36,3326.055,3060,3727,3321.500,1,41,66.502
37,3329.990,3011,3697,3325.000,1,42,66.502
38,3321.960,3056,3665,3312.000,1,43,66.502
