 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3489.601,3041,4481,3467.000,1,6,71.371
2,3493.927,3093,4422,3475.000,1,7,71.371
3,3466.850,3116,4229,3444.000,1,8,71.371
4,3472.371,3104,4179,3452.000,1,9,71.371
5,3490.034,3139,4204,3472.000,1,10,70.406
6,3497.004,3131,4400,3480.000,1,11,69.698
7,3482.908,3024,4181,3459.000,1,12,73.248
8,3486.680,3095,4261,3467.000,1,13,73.901
9,3492.677,3137,4178,3484.500,1,14,72.137
10,3483.556,3119,4093,3470.000,1,15,77.292
11,3491.907,3091,4169,3486.000,1,16,72.068
12,3491.526,3101,4273,3484.500,1,17,69.262
13,3482.652,3105,4220,3471.000,1,18,73.339
14,3487.881,3159,4099,3475.000,1,19,67.077
15,3485.035,3074,4121,3460.000,1,20,73.271
16,3485.333,3120,4028,3464.000,1,21,69.473
17,3487.500,3089,4066,3478.000,1,22,74.393
18,3481.103,3070,4130,3465.000,1,23,66.275
19,3469.792,3123,4090,3456.500,1,24,74.277
20,3479.389,3104,4430,3469.000,1,25,66.315
21,3499.967,3139,4131,3478.000,1,26,66.322
22,3498.401,3149,4060,3481.000,1,27,58.407
23,3508.300,3158,4148,3496.000,1,28,68.274
24,3495.365,3078,4085,3487.000,1,29,69.730
25,3481.277,3117,4168,3465.000,1,30,71.222
26,3486.756,3083,4059,3467.500,1,31,62.073
27,3475.831,3116,4148,3462.000,1,32,66.416
28,3473.586,3099,4248,3459.000,1,33,69.022
29,3480.687,3135,4087,3463.000,1,34,71.001
30,3490.231,3130,4141,3485.000,1,35,58.407
31,3483.673,3109,4039,3469.000,1,36,58.407
32,3477.717,2991,4234,3463.000,1,37,61.214
33,3465.278,3045,4093,3450.000,1,38,61.214
34,3479.498,3046,4392,3458.000,1,39,61.214
35,3497.658,3109,4191,3488.000,1,40,61.214
36,3492.788,3130,4294,3470.000,1,41,61.214
37,3493.547,3146,4100,3470.000,1,42,61.214
38,3507.260,3169,4262,3498.000,1,43,61.214
39,3504.708,3072,4289,3488.000,1,44,61.214
40,3516.804,3166,4092,3498.000,1,45,61.214
41,3520.700,3147,4104,3507.000,1,46,61.214
42,3508.552,3149,4099,3490.000,1,47,61.214
43,3527.307,3145,4306,3507.000,1,48,61.214
44,3508.905,3182,4190,3498.000,1,49,61.214
45,3515.599,3129,4343,3503.000,1,50,61.214
46,3521.266,3128,4173,3500.000,1,51,61.214
47,3527.859,3178,4118,3516.000,1,52,61.214
48,3518.634,3177,4220,3499.000,1,53,61.214
49,3527.292,3154,4112,3510.000,1,54,61.214
50,3512.313,3098,4148,3497.000,1,55,61.214
51,3516.433,3111,4038,3499.000,1,56,61.214
52,3510.408,3150,4062,3498.000,1,57,61.214
53,3528.451,3201,4073,3512.000,1,58,61.214
