 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3348.380,3058,3786,3342.000,2,1,64.670
2,3340.690,3071,3750,3333.000,2,2,80.069
3,3323.403,3046,3676,3315.500,2,3,78.678
4,3300.161,2992,3619,3296.000,2,4,82.000
5,3300.782,3036,3667,3296.000,2,5,82.677
6,3299.396,3060,3745,3294.000,2,6,78.737
7,3321.006,3082,3611,3322.500,2,7,83.333
8,3302.005,3045,3759,3299.500,2,8,83.549
9,3304.819,3054,3667,3299.000,2,9,77.895
10,3315.125,3033,3659,3311.500,2,10,89.556
11,3318.831,2968,3691,3313.000,2,11,89.556
12,3339.119,3065,3687,3336.000,2,12,89.556
13,3334.438,2903,3717,3331.000,2,13,89.556
14,3325.784,3037,3699,3319.000,2,14,89.556
15,3335.663,3077,3825,3328.000,2,15,89.556
16,3338.138,3073,3690,3333.000,2,16,89.556
17,3339.357,3019,3737,3336.000,2,17,88.091
18,3334.353,3054,3782,3324.000,2,18,88.091
19,3329.435,3048,3738,3325.500,2,19,88.091
20,3328.797,3036,3678,3325.000,2,20,88.091
21,3330.975,3060,3648,3324.500,2,21,88.091
22,3326.287,3052,3670,3320.500,2,22,88.091
23,3336.857,3038,3743,3334.000,2,23,88.091
24,3325.522,3036,3749,3324.000,2,24,88.091
25,3341.331,3086,3653,3337.500,2,25,88.091
26,3325.870,2998,3731,3319.000,2,26,88.091
27,3326.564,3091,3618,3320.000,2,27,88.091
28,3320.171,3052,3662,3315.000,2,28,88.091
29,3311.162,3035,3626,3303.000,2,29,88.091
30,3327.104,3034,3663,3320.500,2,30,88.091
31,3317.449,3027,3716,3311.000,2,31,88.091
32,3319.382,3053,3713,3312.500,2,32,88.091
33,3345.020,3034,3745,3340.000,2,33,88.091
34,3354.571,3045,3752,3348.500,2,34,88.091
35,3337.457,3015,3688,3332.000,2,35,88.091
36,3347.918,3059,3785,3343.000,2,36,88.091
37,3342.500,3091,3715,3340.500,2,37,88.091
38,3335.493,3076,3705,3328.500,2,38,88.091
39,3335.319,3039,3666,3332.000,2,39,88.091
40,3332.912,3051,3733,3329.000,2,40,85.357
41,3331.835,3029,3699,3327.000,2,41,85.357
42,3314.780,3055,3676,3309.000,2,42,85.357
43,3341.335,3027,3688,3335.000,2,43,85.357
44,3324.829,3046,3719,3318.000,2,44,85.357
45,3321.728,3062,3758,3318.000,2,45,85.357
46,3320.131,3039,3632,3316.000,2,46,85.357
47,3328.022,3034,3747,3327.000,2,47,85.357
48,3318.268,3054,3755,3314.000,2,48,85.357
49,3324.813,3036,3707,3318.000,2,49,85.357
50,3328.520,3094,3796,3319.000,2,50,85.357
51,3338.751,3074,3713,3332.000,2,51,85.357
52,3344.077,3030,3695,3336.000,2,52,85.357
53,3332.558,3052,3860,3324.000,2,53,85.357
54,3330.982,3038,3673,3321.000,2,54,85.357
55,3319.690,3034,3646,3316.000,2,55,85.357
56,3337.546,3040,3761,3327.000,2,56,85.357
57,3338.590,3060,3709,3336.000,2,57,85.357
58,3332.712,3051,3821,3330.000,2,58,85.357
59,3349.954,3082,3765,3342.000,2,59,85.357
60,3338.166,3079,3821,3330.000,2,60,85.357
61,3330.087,3081,3765,3325.000,2,61,85.357
62,3334.377,3039,3616,3332.000,2,62,85.357
63,3346.638,3087,3814,3337.000,2,63,85.357
64,3336.039,3077,3683,3334.000,2,64,85.357
65,3337.587,3045,3940,3334.000,2,65,85.357
66,3338.890,3048,3791,3327.000,2,66,85.357
67,3349.113,3091,3757,3346.000,2,67,85.357
68,3340.618,3063,3746,3337.000,2,68,85.357
69,3335.857,3037,3720,3334.000,2,69,85.357
70,3337.244,3041,3715,3326.000,2,70,85.357
71,3338.519,3079,3808,3333.000,2,71,85.357
72,3338.076,2993,3676,3330.000,2,72,85.357
73,3331.542,3041,3640,3326.000,2,73,85.357
74,3334.583,3031,3685,3330.000,2,74,85.357
75,3343.746,3077,3788,3335.000,2,75,85.357
76,3331.468,3022,3666,3328.000,2,76,85.357
77,3324.412,3072,3655,3326.000,2,77,85.357
78,3336.637,3073,3700,3327.000,2,78,85.357
79,3337.357,3015,3695,3333.000,2,79,85.357
80,3346.832,3095,3680,3343.000,2,80,85.357
81,3331.488,3046,3660,3325.000,2,81,85.357
82,3339.514,3070,3720,3334.000,2,82,85.357
83,3327.049,3057,3740,3324.000,2,83,85.357
84,3319.296,3034,3699,3320.000,2,84,85.357
85,3326.862,3069,3720,3319.000,2,85,85.357
86,3334.704,3055,3730,3330.000,2,86,85.357
87,3323.884,3068,3680,3319.000,2,87,85.357
88,3320.671,3001,3757,3317.000,2,88,85.357
89,3339.636,2996,3748,3338.000,2,89,85.357
90,3327.785,3034,3674,3322.000,2,90,85.357
