 ,Mean,Min,Max,Median,Ch,Frame,Length
1,4121.140,3307,5021,4110.000,1,1,133.460
2,4187.337,3474,5233,4175.500,1,2,136.162
3,4210.981,3485,5366,4202.000,1,3,132.354
4,4233.181,3268,5393,4215.000,1,4,132.354
5,4157.471,3398,5260,4140.500,1,5,131.436
6,4199.078,3425,5331,4178.000,1,6,131.464
7,4203.538,3256,5256,4190.000,1,7,131.691
8,4249.095,3371,5230,4245.000,1,8,125.540
9,4280.481,3498,5447,4265.000,1,9,125.540
10,4254.300,3411,5405,4247.000,1,10,126.878
11,4319.128,3586,5340,4300.000,1,11,126.382
12,4345.429,3554,5226,4332.000,1,12,126.382
13,4263.067,3440,5264,4248.000,1,13,129.432
14,4326.602,3649,5219,4304.000,1,14,129.432
15,4234.629,3480,5262,4225.000,1,15,119.683
16,4312.063,3529,5273,4300.000,1,16,119.869
17,4314.043,3432,5347,4311.500,1,17,116.455
18,4318.729,3526,5406,4301.000,1,18,121.966
19,4217.701,3411,5278,4216.000,1,19,121.966
20,4241.846,3254,5082,4233.000,1,20,121.966
21,4248.959,3330,5207,4235.500,1,21,121.966
22,4160.851,3383,5276,4163.000,1,22,124.539
23,4136.356,3393,5104,4134.000,1,23,120.252
24,4162.160,3382,4910,4167.000,1,24,120.252
25,4161.208,3403,5107,4141.000,1,25,120.252
26,4155.551,3515,5128,4142.000,1,26,120.252
27,4088.318,3387,5102,4073.500,1,27,120.196
28,4120.499,3359,4939,4118.000,1,28,120.196
29,4196.122,3429,5210,4182.000,1,29,120.549
30,4178.058,3481,5107,4159.000,1,30,120.549
31,4088.791,3212,5075,4092.000,1,31,120.201
32,4093.164,3352,5218,4093.500,1,32,120.201
33,4087.601,3285,5130,4086.000,1,33,120.294
34,4065.989,3361,4981,4060.000,1,34,120.294
35,4061.100,3392,4912,4057.000,1,35,120.294
36,4093.018,3447,4962,4082.000,1,36,120.294
37,4098.312,3387,4944,4086.000,1,37,120.294
38,4075.301,3421,5249,4055.500,1,38,122.378
39,4031.517,3266,4955,4020.000,1,39,122.711
40,4046.379,3291,5029,4036.000,1,40,122.711
41,4075.797,3432,5094,4061.000,1,41,122.711
42,4042.066,3385,4834,4033.000,1,42,122.896
43,4041.712,3321,4990,4019.000,1,43,122.896
44,4022.377,3327,4878,4009.000,1,44,122.896
45,4041.818,3506,4991,4029.000,1,45,122.991
46,4027.591,3369,4966,4016.500,1,46,122.991
47,4012.487,3331,4812,4009.000,1,47,124.109
48,3795.558,3236,4826,3773.000,1,48,124.109
49,3891.981,3218,4819,3885.000,1,49,120.825
50,3917.452,3313,4706,3900.500,1,50,120.825
51,3904.459,3303,4643,3886.000,1,51,120.825
52,3919.450,3324,4749,3912.000,1,52,120.825
53,3925.756,3439,4847,3911.500,1,53,120.825
54,3938.608,3340,4824,3924.500,1,54,120.825
55,3924.269,3415,4778,3908.500,1,55,120.825
56,3959.470,3331,4838,3944.500,1,56,120.825
57,3935.908,3442,4740,3927.000,1,57,120.825
58,3946.110,3406,4688,3944.000,1,58,120.825
59,3953.016,3345,4668,3943.500,1,59,120.825
60,3949.443,3363,4736,3939.000,1,60,120.825
61,3921.832,3381,4913,3910.000,1,61,121.825
62,3933.611,3302,4780,3919.000,1,62,121.825
63,3911.878,3358,4676,3895.000,1,63,117.122
64,3920.494,3360,4823,3913.000,1,64,117.298
65,3931.365,3394,4907,3906.000,1,65,117.298
66,3931.221,3352,4643,3918.000,1,66,117.298
67,3907.893,3353,4775,3901.000,1,67,117.298
68,3907.613,3354,4707,3896.000,1,68,117.298
69,3903.453,3280,4869,3890.000,1,69,117.298
70,3919.535,3347,4675,3898.000,1,70,117.298
71,3896.079,3375,4766,3883.000,1,71,117.298
72,3886.116,3251,4656,3873.000,1,72,116.813
73,3882.615,3327,4752,3869.000,1,73,116.813
74,3894.344,3331,4717,3883.000,1,74,116.813
75,3882.559,3322,4687,3870.000,1,75,116.813
76,3858.916,3293,4736,3846.000,1,76,116.813
77,3869.828,3317,5014,3864.000,1,77,116.813
78,3846.056,3341,4804,3829.500,1,78,116.813
79,3869.577,3350,4630,3855.000,1,79,116.813
80,3853.812,3354,4658,3841.000,1,80,116.813
81,3860.977,3354,4615,3848.500,1,81,116.813
