 ,Mean,Min,Max,Median,Ch,Frame,Length
1,4018.081,3330,4751,4005.500,1,1,72.734
2,4033.474,3453,4769,4026.000,1,2,72.734
3,4101.512,3463,4761,4100.000,1,3,72.734
4,4109.203,3561,5065,4099.000,1,4,72.734
5,4129.844,3580,5062,4111.000,1,5,72.734
6,4122.898,3492,4925,4112.000,1,6,72.734
7,4112.404,3477,4810,4100.000,1,7,72.734
8,4097.736,3497,5007,4086.500,1,8,72.734
9,4093.810,3532,4956,4083.000,1,9,72.734
10,4119.615,3469,4894,4109.000,1,10,72.734
11,4106.611,3562,5234,4088.000,1,11,72.734
12,4100.405,3463,5016,4082.500,1,12,72.734
13,4015.220,3529,4821,4008.000,1,13,61.630
14,4007.099,3497,4769,4008.000,1,14,61.630
15,4039.471,3442,4757,4025.500,1,15,61.630
16,4012.118,3497,4687,4006.000,1,16,61.630
17,4023.786,3454,4883,4021.000,1,17,61.630
18,4055.454,3524,4803,4045.500,1,18,61.630
19,4022.669,3480,4802,4017.000,1,19,61.630
20,4031.241,3481,4720,4021.000,1,20,61.630
21,4050.780,3392,5070,4040.000,1,21,61.630
22,3984.856,3446,4915,3969.500,1,22,61.630
23,3969.851,3452,4742,3956.000,1,23,61.630
24,3963.450,3456,4867,3956.000,1,24,61.630
25,3938.542,3404,4602,3926.500,1,25,61.630
26,3928.272,3397,4543,3915.500,1,26,61.630
27,3948.455,3452,4579,3943.500,1,27,61.630
28,3907.395,3300,4577,3894.000,1,28,61.630
29,3889.176,3377,4499,3880.000,1,29,61.630
30,3874.275,3343,4473,3874.000,1,30,61.630
31,3847.498,3384,4660,3832.000,1,31,61.630
32,3822.374,3282,4548,3816.500,1,32,61.630
33,3821.773,3388,4501,3813.500,1,33,61.630
34,3803.008,3375,4448,3793.500,1,34,61.630
35,3758.359,3294,4316,3749.500,1,35,61.630
36,3810.585,3305,4448,3794.500,1,36,61.630
37,3823.102,3242,4918,3811.500,1,37,61.630
38,3810.444,3389,4360,3792.500,1,38,61.630
39,3769.268,3335,4405,3761.500,1,39,61.630
40,3823.816,3342,4485,3803.000,1,40,61.630
41,3816.094,3291,4617,3801.500,1,41,61.630
42,3831.462,3393,4664,3817.500,1,42,61.630
43,3800.024,3381,4411,3794.000,1,43,61.630
44,3827.275,3325,4681,3823.500,1,44,61.630
45,3850.014,3282,4511,3847.000,1,45,61.630
46,3858.073,3399,4914,3836.500,1,46,61.630
47,3857.198,3291,4505,3848.000,1,47,61.630
48,3831.591,3316,4418,3820.500,1,48,61.630
49,3865.045,3444,4435,3850.000,1,49,61.630
50,3828.091,3350,4499,3818.500,1,50,61.630
51,3845.724,3310,4441,3839.000,1,51,61.630
52,3858.955,3404,4521,3830.000,1,52,61.630
53,3825.797,3304,4609,3813.000,1,53,61.630
54,3821.909,3364,4355,3809.000,1,54,61.630
55,3827.521,3321,4592,3821.500,1,55,61.630
56,3846.102,3431,4467,3832.500,1,56,61.630
57,3819.200,3309,4503,3809.500,1,57,61.630
58,3816.942,3294,4372,3816.000,1,58,61.630
59,3818.725,3379,4491,3810.500,1,59,61.630
60,3869.958,3306,4804,3869.000,1,60,61.630
61,3853.792,3416,4479,3838.500,1,61,61.630
62,3845.321,3364,4491,3838.500,1,62,61.630
63,3831.527,3265,4449,3825.000,1,63,61.630
64,3825.034,3355,4597,3811.500,1,64,61.630
65,3874.008,3382,4622,3860.500,1,65,61.630
66,3869.775,3268,4704,3870.500,1,66,61.630
67,3823.907,3398,4578,3807.000,1,67,61.630
68,3848.805,3375,4410,3843.000,1,68,61.630
69,3887.526,3352,4780,3869.000,1,69,61.630
70,3862.558,3352,4673,3853.000,1,70,61.630
71,3843.312,3164,4752,3821.500,1,71,61.630
72,3871.660,3393,4456,3864.500,1,72,61.630
73,3828.853,3353,4500,3808.000,1,73,61.630
74,3842.887,3342,4536,3827.000,1,74,61.630
75,3839.652,3217,4586,3827.500,1,75,61.630
76,3814.018,3313,4408,3790.500,1,76,61.630
77,3835.788,3338,4368,3823.000,1,77,61.630
78,3796.572,3347,4529,3780.000,1,78,61.630
79,3805.291,3309,4462,3790.500,1,79,61.630
80,3824.534,3272,4540,3805.500,1,80,61.630
81,3805.081,3379,4700,3792.500,1,81,61.630
82,3797.350,3277,4540,3792.500,1,82,61.630
83,3793.387,3400,4263,3783.000,1,83,61.630
84,3777.078,3228,4429,3766.500,1,84,61.630
85,3761.353,3301,4387,3751.500,1,85,61.630
