 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3337.064,3024,3760,3330,2,1,145.593
2,3330.479,3021,3706,3326,2,2,145.593
3,3330.360,3016,3801,3323,2,3,138.492
4,3345.221,3065,3821,3341,2,4,138.492
5,3327.896,3044,3769,3321,2,5,134.523
6,3328.394,3025,3719,3318,2,6,124.963
7,3341.024,2975,3694,3337,2,7,113.784
8,3343.308,3066,3782,3336,2,8,115.385
9,3333.890,3046,3792,3329,2,9,115.635
10,3335.663,3035,3861,3332,2,10,112.968
11,3340.734,3036,3763,3336,2,11,113.267
12,3350.750,3095,3783,3345,2,12,113.224
13,3333.806,3045,3721,3328,2,13,115.206
14,3338.181,3037,3719,3330,2,14,112.803
15,3355.971,3034,3862,3352,2,15,108.281
16,3344.245,3016,3819,3337,2,16,108.281
17,3349.828,3071,3817,3345,2,17,105.011
18,3357.454,3066,3836,3350,2,18,104.204
19,3361.366,3051,3751,3355,2,19,104.923
20,3365.607,3073,3820,3359,2,20,104.541
21,3359.688,3022,3846,3347,2,21,104.541
22,3362.837,3083,3829,3351,2,22,104.541
23,3377.346,3026,3838,3367,2,23,106.737
24,3379.981,3082,4009,3370,2,24,106.737
25,3389.251,3067,3881,3379.500,2,25,108.144
26,3400.058,3075,3895,3384,2,26,107.595
27,3396.211,3050,3927,3389,2,27,107.595
28,3403.111,3014,3953,3394,2,28,107.595
29,3393.871,3054,3983,3381,2,29,106.030
30,3404.640,3068,3943,3396.500,2,30,104.876
31,3418.419,2987,4287,3403.500,2,31,104.876
32,3407.098,3022,3827,3402.500,2,32,104.876
33,3420.090,3090,3911,3404,2,33,106.193
34,3423.355,3091,3915,3417,2,34,106.193
35,3424.671,3093,3924,3415.500,2,35,106.193
36,3408.344,3029,3862,3395,2,36,106.734
37,3439.282,3075,3975,3435,2,37,107.573
38,3437.982,2986,4069,3421.500,2,38,107.573
39,3431.695,3069,4218,3423,2,39,107.789
40,3431.515,3092,4033,3419,2,40,107.789
41,3442.908,3031,3979,3431,2,41,108.108
42,3450.686,3086,4029,3436,2,42,107.841
43,3455.351,3089,4010,3441,2,43,107.841
44,3448.647,3094,4151,3432,2,44,107.841
45,3443.809,3028,4020,3426,2,45,107.841
46,3469.873,3076,4105,3455,2,46,107.841
47,3462.567,3085,3975,3450,2,47,107.841
48,3465.990,3124,4156,3447,2,48,107.841
49,3466.002,3122,4114,3448.500,2,49,107.461
50,3460.283,3101,4065,3441,2,50,111.265
51,3462.905,3092,4210,3447,2,51,111.265
52,3468.312,3118,4233,3450,2,52,111.265
53,3472.930,3090,4206,3448,2,53,111.680
54,3462.162,3084,4231,3443,2,54,111.729
55,3484.657,3102,4237,3461,2,55,111.729
56,3459.887,3101,4149,3443,2,56,111.729
57,3483.710,3083,4138,3465,2,57,108.901
58,3490.429,3109,4177,3472,2,58,108.901
59,3488.588,3141,4126,3467,2,59,108.901
60,3482.201,3098,4172,3464,2,60,108.901
61,3491.152,3096,4300,3473,2,61,108.901
62,3493.072,3130,4322,3474,2,62,108.901
63,3498.204,3131,4264,3480,2,63,108.901
64,3492.963,3127,4148,3471,2,64,108.901
65,3490.768,3072,4203,3483,2,65,108.901
66,3490.757,3113,4286,3474,2,66,108.901
67,3494.376,3067,4171,3480,2,67,108.901
68,3504.655,3137,4216,3482,2,68,108.901
69,3502.044,3137,4106,3486,2,69,108.901
70,3509.143,3110,4188,3488,2,70,108.372
71,3509.712,3127,4186,3492,2,71,108.372
72,3499.805,3141,4227,3485,2,72,108.372
73,3505.948,3145,4188,3489,2,73,108.372
74,3504.244,3017,4184,3481,2,74,107.840
75,3498.209,3022,4325,3476,2,75,107.840
76,3505.902,3071,4232,3489,2,76,107.840
77,3486.329,3090,4678,3460,2,77,107.840
78,3512.489,3187,4157,3496,2,78,107.840
79,3508.605,3134,4246,3488,2,79,107.840
80,3520.480,3102,4241,3496,2,80,107.840
81,3521.373,3161,4366,3499,2,81,107.840
82,3526.039,3140,4465,3499,2,82,108.220
83,3532.735,3130,4452,3507,2,83,108.220
84,3531.858,3097,4240,3513,2,84,108.220
85,3539.061,3139,4260,3524,2,85,108.220
