 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3921.313,3311,4616,3930.000,1,1,93.752
2,3891.562,3219,4748,3877.000,1,2,100.368
3,3856.245,3217,4574,3839.000,1,3,110.062
4,3797.932,3296,4504,3786.000,1,4,115.926
5,3776.072,3259,4399,3766.000,1,5,115.213
6,3825.746,3272,4664,3813.000,1,6,116.489
7,3837.224,3196,4589,3824.500,1,7,130.866
8,3871.688,3264,4702,3857.000,1,8,135.583
9,3828.545,3309,4642,3812.000,1,9,131.941
10,3832.116,3177,4679,3823.000,1,10,148.442
11,3788.254,3254,4755,3767.000,1,11,148.260
12,3709.072,3179,4629,3694.000,1,12,160.457
13,3714.637,3191,4551,3698.500,1,13,174.155
14,3696.728,3197,4576,3678.000,1,14,175.827
15,3658.767,3207,4548,3638.000,1,15,188.185
16,3649.363,3138,4310,3636.000,1,16,198.113
17,3649.860,3230,4404,3634.000,1,17,204.011
18,3623.852,3187,4512,3610.500,1,18,204.849
