 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3326.168,3043,3684,3324.000,2,1,74.615
2,3302.236,3057,3775,3296.000,2,2,72.127
3,3333.716,3054,3660,3332.000,2,3,66.368
4,3312.120,3066,3666,3310.000,2,4,66.368
5,3322.759,3062,3662,3318.000,2,5,66.368
6,3312.935,3019,3718,3306.000,2,6,70.390
7,3329.559,3017,3756,3322.500,2,7,70.390
8,3345.180,3016,3672,3342.000,2,8,75.967
9,3338.834,3049,3794,3336.000,2,9,75.967
10,3347.652,3099,3732,3342.000,2,10,72.523
11,3340.345,3071,3654,3339.000,2,11,72.523
12,3369.726,2985,3863,3367.000,2,12,71.711
13,3356.107,3083,3807,3353.000,2,13,71.711
14,3364.007,3041,3794,3361.000,2,14,71.711
15,3380.815,3062,3689,3372.000,2,15,71.711
16,3352.416,3054,3742,3345.000,2,16,71.711
17,3372.802,3067,3770,3370.000,2,17,71.711
18,3396.159,3047,3734,3394.000,2,18,71.711
19,3386.317,3112,3804,3379.000,2,19,71.711
