 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3250.807,3005,3575,3246.500,2,1,127.494
2,3257.161,2970,3569,3255.000,2,2,115.660
3,3276.048,3012,3659,3268.000,2,3,95.827
4,3288.567,3028,3920,3287.000,2,4,88.642
5,3291.205,2968,3735,3287.500,2,5,101.241
6,3314.797,3008,3661,3308.000,2,6,91.250
7,3314.545,3029,3695,3307.000,2,7,93.903
8,3320.633,3042,3732,3312.000,2,8,88.887
9,3303.360,2922,3688,3295.000,2,9,115.679
10,3304.420,3001,3776,3299.500,2,10,96.824
11,3303.023,2946,3750,3297.000,2,11,115.750
12,3305.030,3022,3705,3295.500,2,12,124.532
13,3318.639,3024,3892,3313.000,2,13,136.378
14,3310.603,2950,3790,3305.000,2,14,148.197
15,3326.811,2957,3731,3321.000,2,15,154.884
16,3323.589,2957,3796,3315.000,2,16,163.218
17,3338.821,3046,3804,3334.000,2,17,176.211
18,3327.189,3016,3759,3320.000,2,18,172.118
