 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3239.241,2972,3521,3232,2,1,66.579
2,3241.675,2900,3564,3238,2,2,66.579
3,3250.390,2998,3548,3246,2,3,66.579
4,3245.861,2958,3543,3241,2,4,66.579
5,3250.396,2972,3529,3243,2,5,66.579
6,3259.387,3007,3527,3256,2,6,66.579
7,3271.013,3035,3592,3267,2,7,66.579
8,3248.009,2956,3537,3247,2,8,66.579
9,3244.189,2975,3610,3240,2,9,66.579
10,3262.490,3016,3641,3254,2,10,66.579
11,3265.783,2954,3592,3260,2,11,66.579
12,3255.357,3009,3679,3250,2,12,66.579
13,3261.494,2998,3623,3257,2,13,59.464
14,3270.300,2959,3582,3268,2,14,59.464
15,3281.010,3061,3568,3278,2,15,59.464
16,3265.244,2979,3662,3267,2,16,59.464
17,3268.614,3020,3547,3266,2,17,59.464
18,3257.264,2872,3535,3256,2,18,59.464
