 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3659.639,3234,4443,3644.000,1,1,103.942
2,3675.161,3140,4298,3666.000,1,2,103.942
3,3639.878,3221,4336,3630.000,1,3,105.029
4,3601.451,3181,4122,3595.000,1,4,105.029
5,3543.144,3213,4403,3536.000,1,5,105.029
6,3638.216,3162,4140,3623.000,1,6,105.029
7,3613.091,3222,4451,3608.000,1,7,105.029
8,3612.813,3165,4159,3604.000,1,8,104.851
9,3602.091,3206,4243,3593.500,1,9,104.851
10,3646.110,3243,4286,3634.000,1,10,104.851
11,3649.721,3183,4376,3641.000,1,11,104.851
12,3618.120,3173,4152,3616.000,1,12,104.851
13,3602.196,3180,4115,3592.500,1,13,104.851
14,3567.509,3206,4064,3551.500,1,14,84.732
15,3625.054,3202,4066,3617.000,1,15,84.732
16,3639.374,3199,4157,3630.500,1,16,84.732
17,3639.732,3116,4264,3624.000,1,17,84.732
18,3613.539,3198,4215,3603.000,1,18,81.856
19,3671.943,3178,4289,3662.000,1,19,83.421
