 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3344.246,2998,3820,3339.000,2,1,120.986
2,3355.743,3043,3858,3348.000,2,2,97.060
3,3373.216,3060,3865,3363.000,2,3,120.107
4,3365.999,3037,3839,3358.000,2,4,108.701
5,3365.816,2975,3812,3362.000,2,5,112.099
6,3425.728,3064,3997,3413.000,2,6,128.660
7,3431.575,3085,3942,3420.000,2,7,124.647
8,3422.089,3036,3981,3413.500,2,8,117.510
9,3414.949,3015,4114,3399.500,2,9,99.515
10,3419.190,3066,4074,3405.000,2,10,114.742
11,3419.472,3073,4043,3408.000,2,11,114.002
12,3437.137,3094,4003,3429.000,2,12,119.893
13,3454.228,3109,4043,3440.000,2,13,108.384
14,3451.986,3024,3992,3443.000,2,14,118.535
15,3499.101,3079,4204,3485.000,2,15,131.818
16,3477.353,3100,4139,3461.000,2,16,147.363
17,3478.183,3106,3965,3464.000,2,17,144.323
18,3460.362,3032,3987,3448.000,2,18,146.064
19,3457.100,3107,4001,3449.000,2,19,149.467
