 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3311.379,3073,3640,3305.000,2,1,87.788
2,3300.877,2989,3621,3303.000,2,2,91.401
3,3299.906,2974,3624,3295.000,2,3,100.710
4,3299.089,3034,3599,3297.000,2,4,104.297
5,3290.823,3013,3628,3289.000,2,5,109.277
6,3291.525,3041,3579,3289.000,2,6,97.001
7,3294.484,3052,3595,3292.000,2,7,101.768
8,3294.492,3018,3641,3291.000,2,8,102.367
9,3278.742,3005,3588,3278.000,2,9,100.016
10,3302.443,3027,3704,3297.000,2,10,97.603
11,3296.856,3025,3593,3293.000,2,11,99.480
12,3297.093,3016,3609,3293.000,2,12,95.138
13,3299.876,3035,3610,3296.000,2,13,90.047
14,3325.364,3049,3699,3321.000,2,14,101.046
15,3318.612,3045,3653,3317.000,2,15,92.763
16,3328.923,3017,3635,3325.000,2,16,92.627
17,3336.440,3059,3692,3331.000,2,17,110.756
18,3349.077,3080,3738,3345.000,2,18,114.800
19,3353.858,3065,3709,3347.000,2,19,112.114
20,3350.420,3048,3679,3347.000,2,20,105.362
21,3355.702,3023,3904,3353.500,2,21,100.231
22,3351.995,3094,3706,3348.000,2,22,106.233
23,3361.413,3039,3853,3357.000,2,23,133.482
24,3345.549,3027,3788,3342.000,2,24,138.687
25,3371.819,3047,3817,3366.000,2,25,143.563
26,3373.063,3042,3778,3365.000,2,26,158.768
27,3331.383,3048,3819,3324.000,2,27,166.818
28,3338.454,3013,3747,3331.000,2,28,170.176
29,3354.470,3030,3823,3348.000,2,29,168.192
30,3339.437,3038,3769,3333.000,2,30,174.276
31,3350.114,2997,3821,3347.500,2,31,181.967
32,3334.880,3027,3826,3328.000,2,32,178.252
33,3321.666,3048,3796,3313.000,2,33,182.563
34,3352.246,3003,3851,3344.000,2,34,185.249
35,3362.100,3043,3765,3354.000,2,35,187.317
36,3346.655,3020,3840,3337.000,2,36,195.812
37,3352.962,3059,3889,3345.000,2,37,191.673
38,3337.952,3062,4039,3329.000,2,38,192.154
39,3344.630,3000,3904,3334.000,2,39,194.113
40,3366.758,2994,3839,3360.000,2,40,187.034
41,3365.173,3039,3927,3355.500,2,41,184.488
42,3374.724,3080,4033,3364.000,2,42,190.050
43,3358.335,3071,3857,3344.000,2,43,183.382
44,3360.409,3026,3936,3345.000,2,44,185.805
45,3375.016,3061,3895,3363.000,2,45,188.313
46,3364.144,3013,3855,3352.000,2,46,206.344
47,3373.463,3021,4056,3363.000,2,47,185.913
48,3406.380,3083,4127,3394.000,2,48,179.687
49,3379.442,3038,3906,3366.000,2,49,185.562
50,3374.249,3047,4081,3359.000,2,50,196.651
51,3364.295,3051,3925,3352.000,2,51,212.287
52,3386.128,3031,3995,3374.000,2,52,211.688
53,3396.822,3038,3921,3383.500,2,53,213.058
54,3401.125,3049,3972,3387.000,2,54,213.616
55,3396.005,3055,4032,3377.000,2,55,211.086
56,3403.586,3050,3895,3392.500,2,56,208.353
57,3411.702,3087,3960,3400.000,2,57,209.126
58,3409.483,3034,4020,3398.000,2,58,211.889
59,3410.313,3054,4003,3394.000,2,59,217.150
60,3398.437,3001,3912,3388.000,2,60,197.443
