 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3583.245,3174,4048,3579.000,1,1,84.565
2,3555.939,3223,4048,3549.500,1,2,100.616
3,3543.311,3207,3926,3540.000,1,3,84.762
4,3516.136,3127,4019,3515.500,1,4,96.023
5,3548.348,3138,3978,3540.000,1,5,110.806
6,3558.328,3164,4114,3556.000,1,6,101.650
7,3557.097,3214,4029,3549.000,1,7,108.737
8,3556.827,3200,4065,3556.000,1,8,99.851
9,3552.365,3193,4010,3547.000,1,9,100.379
10,3536.777,3125,3976,3532.000,1,10,103.599
11,3512.326,3066,4080,3513.000,1,11,120.392
12,3553.008,3167,4025,3549.000,1,12,102.557
13,3512.564,3019,4096,3513.000,1,13,103.993
14,3561.857,3177,3988,3559.000,1,14,100.580
15,3518.120,3125,4031,3514.000,1,15,108.872
16,3517.600,3117,4032,3516.000,1,16,95.754
17,3551.686,3207,4072,3546.000,1,17,91.609
18,3547.344,3181,4060,3532.500,1,18,85.623
19,3536.318,3194,3956,3538.000,1,19,83.991
20,3532.465,3134,4000,3532.000,1,20,94.557
21,3540.126,3112,4056,3540.000,1,21,88.917
22,3553.177,3158,4011,3557.000,1,22,80.636
23,3546.614,3145,4021,3539.000,1,23,81.101
24,3471.463,3039,4142,3479.000,1,24,83.985
25,3521.574,3109,4032,3524.000,1,25,74.848
26,3520.667,3125,4067,3518.000,1,26,81.321
27,3485.123,3087,3973,3485.000,1,27,81.921
28,3534.038,3139,4173,3534.000,1,28,74.596
29,3470.777,3058,3949,3471.000,1,29,61.132
30,3533.884,3139,3965,3539.000,1,30,68.218
31,3548.476,3108,3999,3548.000,1,31,59.652
32,3544.278,3103,4101,3552.000,1,32,70.372
33,3515.007,3112,4078,3513.000,1,33,66.064
34,3534.028,3129,4112,3530.000,1,34,63.370
35,3553.839,3197,4082,3547.000,1,35,59.684
36,3552.280,3093,4098,3555.000,1,36,67.367
37,3533.008,3105,4071,3525.000,1,37,70.367
38,3494.053,3104,3886,3501.000,1,38,63.523
39,3522.376,3111,3937,3519.000,1,39,64.335
40,3523.979,3053,4063,3518.000,1,40,69.703
41,3503.541,3138,3975,3503.000,1,41,66.783
42,3497.359,3116,3959,3497.000,1,42,72.430
43,3518.820,3136,3978,3521.000,1,43,65.809
44,3547.015,3163,4086,3543.000,1,44,74.408
45,3539.133,3142,3945,3539.000,1,45,80.348
46,3516.768,3162,4021,3515.000,1,46,81.742
47,3486.962,3068,3993,3492.000,1,47,82.721
48,3477.786,2988,4024,3480.000,1,48,81.854
49,3485.433,3124,3934,3480.500,1,49,83.918
50,3499.591,3149,3888,3505.000,1,50,84.488
51,3502.818,3153,3876,3498.000,1,51,79.927
52,3502.201,3080,3982,3505.500,1,52,88.698
53,3480.648,3090,3997,3470.000,1,53,75.535
54,3490.464,3144,3892,3490.000,1,54,79.403
55,3486.913,3062,3878,3485.000,1,55,82.219
56,3507.956,3148,3977,3504.000,1,56,83.229
57,3510.291,3142,3903,3506.000,1,57,81.934
58,3497.521,3166,3872,3491.500,1,58,78.997
59,3467.673,3138,3859,3466.000,1,59,77.428
60,3494.547,3146,3931,3485.000,1,60,73.086
