 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3362.845,3077,3723,3359.500,1,1,80.812
2,3365.674,3111,3714,3363.000,1,2,80.812
3,3360.863,3091,3751,3355.000,1,3,80.812
4,3368.847,3090,3692,3368.000,1,4,81.403
5,3370.219,3138,3669,3367.000,1,5,81.403
6,3347.613,3110,3610,3346.000,1,6,81.403
7,3355.795,3103,3655,3354.000,1,7,81.403
8,3346.369,3097,3676,3341.000,1,8,79.035
9,3344.338,3114,3647,3338.000,1,9,79.035
10,3337.410,3102,3741,3338.000,1,10,79.035
11,3341.188,3113,3641,3339.000,1,11,79.035
12,3349.010,3097,3689,3348.000,1,12,79.035
13,3347.394,3111,3669,3346.500,1,13,79.035
14,3330.294,3112,3619,3327.500,1,14,79.035
15,3322.605,3071,3610,3317.000,1,15,79.035
16,3328.181,3092,3675,3323.000,1,16,79.035
17,3340.470,3066,3648,3335.000,1,17,79.035
18,3322.412,3042,3650,3325.000,1,18,79.035
19,3331.827,3080,3625,3330.000,1,19,79.035
20,3330.575,3074,3664,3328.000,1,20,79.035
21,3327.966,3071,3659,3323.500,1,21,79.035
22,3305.379,3058,3633,3303.500,1,22,79.035
23,3319.199,3128,3600,3316.000,1,23,79.035
24,3322.791,3016,3574,3316.000,1,24,79.035
25,3318.446,3087,3621,3312.000,1,25,79.035
26,3330.789,3063,3626,3327.000,1,26,91.008
27,3334.089,3091,3647,3330.500,1,27,91.008
28,3326.435,3062,3575,3327.000,1,28,91.008
29,3335.452,3064,3677,3335.000,1,29,91.008
30,3317.141,3088,3588,3313.000,1,30,91.008
31,3314.752,3109,3653,3310.000,1,31,91.008
32,3312.900,3080,3585,3309.000,1,32,91.008
33,3323.595,3041,3607,3322.000,1,33,91.008
34,3317.868,3106,3641,3309.000,1,34,91.008
35,3333.328,3093,3648,3330.000,1,35,91.008
36,3314.857,3087,3580,3309.000,1,36,91.008
37,3317.407,3073,3600,3316.000,1,37,91.008
38,3325.192,3109,3608,3320.000,1,38,91.008
39,3336.167,3100,3610,3334.500,1,39,91.008
40,3319.365,3065,3581,3318.000,1,40,91.008
41,3324.048,3070,3640,3317.500,1,41,91.008
42,3312.632,3027,3638,3305.500,1,42,91.008
43,3310.614,3096,3652,3309.000,1,43,91.008
44,3318.703,3018,3670,3316.000,1,44,91.008
45,3314.237,3071,3566,3312.500,1,45,91.008
46,3322.227,2992,3577,3327.000,1,46,91.008
47,3312.309,3076,3579,3312.000,1,47,91.008
48,3316.561,3087,3666,3313.500,1,48,91.008
49,3324.483,3073,3611,3321.000,1,49,91.008
50,3310.376,3089,3648,3309.000,1,50,91.008
51,3303.864,3058,3608,3302.000,1,51,91.008
52,3329.111,3119,3628,3327.500,1,52,91.008
53,3313.839,3052,3589,3314.000,1,53,91.008
54,3308.400,3037,3574,3308.000,1,54,91.008
55,3312.951,3045,3628,3312.000,1,55,91.008
56,3313.807,3066,3597,3313.000,1,56,91.008
57,3307.389,3087,3607,3306.000,1,57,91.008
58,3320.826,3092,3611,3317.000,1,58,91.008
59,3313.950,3058,3599,3309.000,1,59,91.008
60,3299.564,3077,3631,3295.000,1,60,91.008
