 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3225.880,3062,3460,3225.000,2,1,86.142
2,3203.950,3029,3393,3203.000,2,2,86.142
3,3206.369,2965,3452,3206.000,2,3,86.142
4,3223.416,2999,3425,3223.000,2,4,86.142
5,3219.885,2984,3459,3219.000,2,5,86.142
6,3217.195,3011,3442,3217.000,2,6,86.142
7,3213.193,2991,3427,3212.500,2,7,91.140
8,3208.423,2972,3466,3207.000,2,8,91.140
9,3208.089,2999,3495,3206.000,2,9,91.140
10,3223.444,3017,3439,3224.000,2,10,91.140
11,3212.909,3005,3452,3212.000,2,11,91.140
12,3208.181,3018,3418,3208.000,2,12,91.140
13,3225.491,3027,3513,3224.000,2,13,91.140
14,3220.192,3004,3436,3220.000,2,14,91.140
15,3208.415,3022,3425,3209.000,2,15,91.140
16,3213.172,3031,3434,3212.000,2,16,91.140
17,3211.415,3011,3420,3209.500,2,17,91.140
18,3220.187,2965,3458,3220.000,2,18,91.140
19,3227.531,2969,3447,3228.000,2,19,91.140
20,3218.639,3026,3438,3219.000,2,20,91.140
21,3214.281,3030,3435,3216.000,2,21,91.140
22,3224.857,3034,3436,3225.500,2,22,91.140
23,3229.367,3016,3425,3231.000,2,23,91.140
24,3217.209,3007,3512,3216.500,2,24,91.140
25,3216.792,3024,3466,3217.500,2,25,91.140
26,3231.254,3041,3460,3229.000,2,26,91.140
27,3210.350,2952,3426,3207.000,2,27,91.140
28,3220.202,3006,3434,3220.000,2,28,100.262
29,3239.307,3042,3448,3243.000,2,29,100.262
30,3209.710,2996,3415,3208.000,2,30,100.262
31,3219.618,2990,3431,3218.000,2,31,100.262
32,3229.232,3035,3492,3228.500,2,32,100.262
33,3224.652,3053,3420,3223.000,2,33,100.262
34,3222.192,3001,3476,3220.000,2,34,100.262
35,3224.487,3031,3457,3221.000,2,35,100.262
36,3218.546,2998,3453,3219.000,2,36,100.262
37,3210.928,3009,3447,3210.000,2,37,100.262
38,3210.316,3012,3424,3210.000,2,38,100.262
39,3220.750,3019,3452,3219.000,2,39,100.262
40,3218.130,3028,3433,3217.000,2,40,100.262
41,3227.348,2970,3448,3227.000,2,41,100.262
42,3220.043,3034,3570,3219.000,2,42,100.262
43,3239.926,3014,3476,3242.000,2,43,100.262
44,3233.944,3019,3457,3232.500,2,44,100.262
45,3224.669,3044,3443,3220.000,2,45,100.262
46,3225.813,2996,3472,3224.000,2,46,100.262
47,3220.564,2989,3513,3220.000,2,47,100.262
48,3227.701,2992,3420,3227.000,2,48,100.262
49,3222.333,3024,3476,3221.000,2,49,100.262
50,3221.903,3017,3474,3223.500,2,50,100.262
51,3227.364,3008,3495,3226.000,2,51,100.262
52,3232.046,2999,3426,3231.000,2,52,100.262
53,3219.366,3004,3445,3216.000,2,53,100.262
54,3243.832,3000,3481,3241.000,2,54,100.262
55,3224.129,3038,3471,3224.000,2,55,100.262
56,3236.231,3044,3471,3238.000,2,56,100.262
57,3235.122,2978,3534,3233.000,2,57,100.262
58,3234.555,3041,3476,3234.500,2,58,100.262
59,3225.134,3006,3499,3222.000,2,59,100.262
60,3212.954,2985,3421,3211.000,2,60,100.262
