 ,Mean,Min,Max,Median,Ch,Frame,Length
1,4224.594,3559,5105,4214.500,1,1,17.545
2,4351.982,3464,5520,4341.000,1,2,19.330
3,4355.217,3617,5683,4344.000,1,3,18.968
4,4328.037,3635,5166,4317.000,1,4,18.968
5,4357.088,3500,5401,4341.000,1,5,18.968
6,4335.105,3575,5457,4319.000,1,6,19.456
7,4331.336,3587,5282,4314.000,1,7,19.456
8,4311.707,3480,5215,4295.000,1,8,19.456
9,4271.834,3590,5081,4259.000,1,9,19.456
10,4292.807,3539,5875,4293.000,1,10,19.214
11,4281.290,3582,5229,4268.000,1,11,19.214
12,4278.062,3422,5258,4270.000,1,12,18.715
13,4264.088,3541,5368,4251.000,1,13,18.715
14,4275.657,3598,5217,4260.000,1,14,18.715
15,4296.815,3637,5153,4291.000,1,15,18.715
16,4257.433,3433,5283,4250.000,1,16,19.167
17,4252.818,3487,5270,4239.000,1,17,19.167
18,4255.390,3362,5301,4242.000,1,18,19.167
19,4262.136,3562,5107,4249.000,1,19,19.169
20,4253.310,3448,5174,4247.000,1,20,19.201
21,4242.983,3418,5360,4231.000,1,21,19.201
22,4255.800,3439,5313,4255.000,1,22,18.484
23,4247.980,3492,5351,4234.000,1,23,18.484
24,4230.604,3452,5332,4223.000,1,24,18.484
25,4218.712,3514,5300,4211.000,1,25,18.484
26,4198.566,3471,5058,4196.000,1,26,17.603
27,4207.213,3434,5106,4204.500,1,27,17.603
28,4220.039,3486,4973,4217.500,1,28,17.603
29,4210.073,3427,5349,4196.000,1,29,17.721
30,4213.254,3336,5040,4206.000,1,30,17.721
31,4230.364,3449,5407,4222.000,1,31,17.721
32,4200.787,3421,5196,4195.500,1,32,17.724
33,4210.429,3454,5237,4200.000,1,33,19.265
34,4210.807,3459,5083,4199.000,1,34,19.265
35,4184.271,3446,5175,4184.000,1,35,19.249
36,4203.304,3422,5103,4194.000,1,36,19.249
37,4188.877,3547,4944,4183.500,1,37,19.249
38,4196.916,3441,5089,4187.500,1,38,19.249
39,4195.740,3511,5183,4193.000,1,39,19.249
40,4192.776,3366,5097,4181.000,1,40,19.249
41,4217.623,3569,5274,4206.500,1,41,19.249
42,4213.376,3404,5156,4210.000,1,42,19.544
43,4222.414,3513,5153,4217.000,1,43,19.544
44,4218.985,3431,5118,4202.000,1,44,19.544
45,4182.300,3451,5023,4162.000,1,45,19.544
46,4188.078,3350,5157,4176.000,1,46,19.544
47,4217.818,3480,5097,4200.000,1,47,19.403
48,4197.356,3448,5082,4187.000,1,48,19.403
49,4179.463,3487,5221,4168.000,1,49,19.403
50,4157.741,3548,5079,4145.000,1,50,19.403
51,4184.886,3473,5080,4178.000,1,51,19.403
52,4163.408,3481,5203,4149.000,1,52,19.403
53,4154.882,3439,5035,4139.000,1,53,19.403
54,4161.341,3461,5096,4155.000,1,54,19.403
55,4149.753,3279,5108,4128.000,1,55,19.369
56,4160.669,3443,5196,4152.000,1,56,19.369
57,4151.477,3436,5043,4150.000,1,57,19.369
58,4151.217,3426,5080,4136.000,1,58,19.369
59,4153.755,3459,5081,4142.000,1,59,19.369
60,4138.234,3413,5187,4130.000,1,60,19.369
61,4130.703,3482,4999,4113.000,1,61,19.369
62,4124.046,3464,5053,4112.000,1,62,19.744
63,4119.646,3482,4914,4110.000,1,63,19.744
64,4114.836,3548,5142,4101.000,1,64,19.744
65,4119.971,3493,5091,4107.000,1,65,19.744
66,4089.673,3424,4932,4074.000,1,66,19.744
67,4105.937,3446,4967,4092.000,1,67,19.895
68,4110.135,3392,5003,4100.000,1,68,19.895
69,4105.672,3484,4995,4089.000,1,69,19.895
70,4090.909,3294,4900,4075.000,1,70,19.895
71,4128.209,3367,5040,4124.000,1,71,19.895
72,4093.943,3362,5012,4081.000,1,72,19.895
73,4080.144,3438,5062,4075.000,1,73,19.895
74,4072.277,3462,5003,4056.000,1,74,19.895
75,4073.296,3410,5170,4062.000,1,75,19.895
76,4065.538,3341,4902,4060.000,1,76,20.188
77,4048.492,3287,4927,4031.000,1,77,20.188
78,4058.750,3382,5171,4048.500,1,78,20.114
79,4049.533,3447,4874,4032.000,1,79,20.114
80,4069.053,3376,5043,4063.500,1,80,20.114
81,4086.978,3393,5067,4072.500,1,81,20.114
82,4077.648,3439,4996,4069.000,1,82,20.114
83,4058.467,3321,5295,4041.000,1,83,20.114
84,4068.313,3364,5108,4062.000,1,84,20.114
85,4061.832,3473,5016,4048.500,1,85,20.114
86,4078.650,3390,5205,4082.000,1,86,20.224
87,4064.419,3243,4920,4055.000,1,87,20.224
88,4071.138,3420,5179,4050.000,1,88,20.224
89,4062.251,3402,5129,4049.000,1,89,20.224
90,4053.574,3326,4990,4048.000,1,90,20.305
91,4072.358,3366,4971,4060.000,1,91,20.305
92,4048.774,3366,5047,4040.000,1,92,20.305
93,4032.440,3306,5402,4019.000,1,93,20.305
94,4045.020,3362,4843,4045.000,1,94,20.305
95,4037.136,3359,4866,4030.000,1,95,20.305
96,4055.232,3426,5026,4035.000,1,96,20.305
97,4021.718,3326,4963,4003.000,1,97,20.305
98,4003.587,3323,4848,3989.000,1,98,20.305
99,3990.812,3311,4867,3981.000,1,99,20.305
100,3979.419,3320,5002,3972.000,1,100,20.305
101,4022.283,3350,5071,4004.000,1,101,20.180
102,4016.001,3434,5106,4004.000,1,102,20.180
103,4007.335,3285,4969,3994.000,1,103,20.180
104,3976.932,3262,4893,3974.000,1,104,20.331
105,3976.289,3240,5141,3963.000,1,105,20.331
106,3979.816,3158,4985,3974.500,1,106,20.331
107,3944.093,3233,5074,3944.500,1,107,20.331
108,3962.428,3228,5030,3959.000,1,108,20.331
109,3945.624,3195,4777,3946.000,1,109,20.331
110,3959.734,3213,4994,3940.500,1,110,20.331
111,3958.275,3211,4883,3948.500,1,111,20.331
112,3951.151,3154,4818,3943.500,1,112,20.331
113,3970.998,3353,5079,3956.000,1,113,19.992
114,4001.043,3408,4928,3983.000,1,114,19.992
115,3971.344,3269,4843,3963.000,1,115,19.992
116,3979.675,3352,4861,3972.000,1,116,19.992
117,3984.964,3121,5016,3976.000,1,117,19.992
118,3986.625,3438,5181,3974.000,1,118,19.992
119,3973.809,3284,4862,3956.000,1,119,19.992
120,3958.807,3242,5125,3947.000,1,120,19.992
