 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3849.845,3295,4453,3839,1,2,11.195
2,3811.559,3351,4904,3788,1,3,11.195
3,3832.971,3325,4471,3818,1,4,11.195
4,3806.248,3217,4626,3795,1,5,11.195
5,3804.532,3252,4531,3787,1,6,11.195
6,3816.672,3300,4548,3805,1,7,11.195
7,3814.439,3281,4504,3813,1,8,11.195
8,3808.174,3184,4595,3797,1,9,11.195
9,3803.964,3267,4387,3796,1,10,11.195
10,3800.980,3233,4448,3791,1,11,11.195
11,3794.268,3380,4382,3786,1,12,11.195
12,3792.606,3299,4519,3778,1,13,11.195
13,3782.549,3280,4419,3780,1,14,11.195
14,3789.163,3330,4442,3776,1,15,11.195
15,3771.506,3199,4318,3770,1,16,11.195
16,3789.070,3311,4399,3775,1,17,11.195
17,3767.830,3291,4889,3755,1,18,11.195
18,3784.914,3350,4409,3777,1,19,11.195
19,3768.916,3327,4573,3752,1,20,11.195
20,3796.680,3368,4413,3791,1,21,11.195
21,3794.027,3386,4405,3771,1,22,11.195
22,3774.919,3364,4447,3768,1,23,11.195
23,3767.829,3364,4468,3756,1,24,11.195
24,3764.846,3333,4384,3759,1,25,11.195
25,3766.197,3320,4318,3753,1,26,11.195
26,3776.031,3379,4312,3774,1,27,11.195
27,3757.656,3329,4456,3749,1,28,11.195
28,3778.183,3315,4632,3763,1,29,11.195
29,3777.656,3246,4462,3768,1,30,11.195
30,3769.524,3324,4294,3753,1,31,11.195
31,3739.505,3245,4340,3717,1,32,11.195
32,3755.155,3193,4255,3742,1,33,11.195
33,3742.598,3250,4326,3729,1,34,11.195
34,3729.096,3317,4319,3720,1,35,11.195
35,3736.322,3289,4304,3723,1,36,11.195
36,3740.663,3323,4439,3732,1,37,11.195
37,3726.880,3285,4345,3719,1,38,11.195
38,3748.154,3323,4440,3738,1,39,11.195
39,3748.924,3364,4678,3729,1,40,11.195
40,3751.583,3344,4325,3746,1,41,11.195
41,3750.027,3307,4410,3743,1,42,11.195
42,3737.849,3213,4492,3727,1,43,11.195
43,3737.823,3281,4275,3727,1,44,11.195
44,3716.512,3291,4336,3695,1,45,11.195
45,3715.829,3231,4394,3710,1,46,11.195
46,3727.368,3212,4361,3720,1,47,11.195
47,3723.375,3275,4403,3721,1,48,11.195
48,3722.387,3210,4297,3702,1,49,11.195
49,3701.862,3267,4307,3687,1,50,11.195
50,3725.635,3211,4279,3710,1,51,11.195
51,3708.923,3268,4267,3694,1,52,11.195
52,3702.101,3270,4321,3692,1,53,11.195
53,3727.081,3262,4447,3705,1,54,11.195
54,3688.001,3211,4527,3673,1,55,11.195
55,3707.379,3203,4346,3693,1,56,11.195
56,3725.257,3302,4271,3722,1,57,11.195
57,3691.616,3247,4324,3683,1,58,11.195
58,3695.394,3305,4433,3691,1,59,11.195
59,3662.260,3175,4149,3652,1,60,11.195
60,3649.268,3237,4337,3641,1,61,11.195
61,3673.063,3228,4318,3655,1,62,11.195
62,3670.748,3252,4248,3662,1,63,11.195
63,3652.240,3271,4190,3640,1,64,11.195
64,3661.876,3168,4582,3662,1,65,11.195
65,3653.160,3198,4377,3638,1,66,11.195
66,3648.496,3282,4216,3650,1,67,11.195
67,3667.478,3250,4304,3667,1,68,11.195
68,3650.193,3252,4155,3638,1,69,11.195
69,3635.054,3215,4146,3633,1,70,11.195
70,3657.853,3224,4200,3648,1,71,11.195
71,3644.084,3232,4229,3635,1,72,11.195
72,3664.304,3239,4221,3647,1,73,11.195
73,3646.262,3178,4298,3637,1,74,11.195
74,3654.101,3247,4194,3642,1,75,11.195
75,3650.310,3262,4161,3643,1,76,11.195
76,3644.870,3240,4151,3635,1,77,11.195
77,3662.307,3235,4141,3651,1,78,11.195
78,3628.161,3212,4129,3620,1,79,11.195
79,3651.616,3240,4321,3646,1,80,11.195
80,3655.248,3261,4182,3644,1,81,11.195
81,3643.096,3259,4355,3635,1,82,11.195
82,3634.170,3256,4172,3626,1,83,11.195
83,3643.016,3236,4156,3644,1,84,11.195
84,3649.417,3224,4241,3639,1,85,11.195
85,3644.883,3239,4133,3633,1,86,11.195
86,3645.261,3181,4168,3633,1,87,11.195
87,3630.571,3210,4555,3619,1,88,11.195
88,3635.205,3209,4332,3631,1,89,11.195
89,3624.532,3292,4080,3619,1,90,11.195
90,3634.738,3229,4258,3622,1,91,11.195
91,3615.051,3225,4131,3606,1,92,11.195
92,3622.732,3220,4111,3623,1,93,11.195
93,3630.288,3153,4098,3615,1,94,11.195
94,3627.716,3224,4169,3614,1,95,11.195
95,3628.689,3208,4436,3619,1,96,11.195
96,3614.064,3178,4274,3619,1,97,11.195
97,3618.148,3192,4107,3618,1,98,11.195
98,3604.970,3200,4171,3592,1,99,11.195
99,3604.474,3237,4126,3599,1,100,11.195
100,3598.224,3164,4137,3585,1,101,11.195
101,3610.899,3198,4247,3597,1,102,11.195
102,3598.942,3258,4302,3586,1,103,11.195
103,3601.773,3192,4199,3588,1,104,11.195
104,3604.220,3211,4280,3592,1,105,11.195
105,3606.775,3211,4088,3597,1,106,11.195
