 ,Mean,Min,Max,Median,Ch,Frame,Length
1,4117.533,3220,5434,4122.000,1,1,86.748
2,4095.387,3271,5036,4097.000,1,2,86.748
3,4086.655,3298,5197,4081.000,1,3,86.748
4,4104.809,3291,5333,4101.500,1,4,84.199
5,4086.700,3283,5002,4086.000,1,5,84.199
6,4068.008,3298,5263,4067.000,1,6,84.702
7,4093.645,3357,5063,4095.000,1,7,84.702
8,4099.901,3416,5041,4084.000,1,8,84.702
9,4072.911,3419,5040,4065.000,1,9,90.265
10,4066.380,3298,4904,4051.500,1,10,90.265
11,4098.310,3358,4940,4080.000,1,11,90.265
12,4065.860,3268,5006,4050.500,1,12,87.314
13,4078.818,3505,4934,4073.000,1,13,87.314
14,4076.605,3442,5064,4064.000,1,14,87.314
15,4070.297,3377,5045,4062.500,1,15,86.047
16,4081.028,3451,4939,4070.500,1,16,86.047
17,4093.733,3505,4972,4084.500,1,17,86.047
18,4068.505,3292,5199,4060.000,1,18,93.934
19,4061.624,3408,4888,4045.500,1,19,93.934
20,4053.129,3497,5039,4037.500,1,20,93.934
21,4058.371,3484,4898,4046.000,1,21,93.934
22,4049.357,3394,4974,4035.000,1,22,94.059
23,4025.589,3329,5105,4007.000,1,23,94.059
24,3997.581,3408,4987,3986.500,1,24,91.406
25,4032.670,3206,4813,4020.500,1,25,91.406
26,4019.314,3391,4904,4003.000,1,26,91.406
27,4017.014,3332,4924,4003.000,1,27,91.406
28,4015.425,3262,4851,3995.500,1,28,91.406
29,4019.486,3427,5017,4001.500,1,29,91.406
30,4012.433,3495,4763,3996.000,1,30,91.406
31,4013.942,3387,5018,3996.000,1,31,91.406
32,4008.065,3431,4899,3990.500,1,32,91.406
33,3997.369,3308,4797,3981.500,1,33,91.617
34,4009.254,3369,4830,4000.500,1,34,91.617
35,3982.528,3400,4849,3968.000,1,35,91.617
36,3993.235,3412,4738,3976.000,1,36,91.617
37,3984.059,3444,4905,3966.500,1,37,91.617
38,3969.947,3334,4652,3957.000,1,38,91.617
39,3971.137,3361,5003,3963.000,1,39,91.617
40,3962.260,3391,4881,3948.000,1,40,91.617
41,3992.752,3309,4829,3982.500,1,41,91.617
42,3978.560,3375,4843,3963.000,1,42,91.617
43,3941.610,3324,4852,3925.000,1,43,91.617
44,3938.370,3234,4687,3943.500,1,44,91.617
45,3954.933,3328,4988,3950.000,1,45,91.617
46,3926.640,3291,4744,3925.000,1,46,91.617
47,3946.541,3343,4691,3930.500,1,47,91.617
48,3936.712,3293,4803,3919.000,1,48,91.617
49,3924.353,3213,4573,3916.000,1,49,91.617
50,3909.234,3242,4778,3894.500,1,50,91.617
51,3903.784,3262,4757,3899.500,1,51,91.617
52,3916.660,3313,4710,3913.000,1,52,91.617
53,3909.032,3278,4711,3909.500,1,53,91.617
54,3906.100,3288,4730,3900.500,1,54,91.617
55,3904.094,3253,4690,3895.000,1,55,91.442
56,3915.408,3334,4872,3900.000,1,56,91.442
57,3887.890,3338,4651,3879.000,1,57,91.442
58,3884.008,3334,4674,3874.000,1,58,91.442
59,3885.555,3350,4653,3874.500,1,59,91.442
60,3878.092,3225,4853,3863.000,1,60,91.442
61,3892.437,3318,4590,3885.000,1,61,91.442
62,3884.712,3326,4869,3864.000,1,62,94.364
