 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3778.388,3247,4504,3776.000,1,1,94.259
2,3758.054,3268,4522,3744.000,1,2,94.259
3,3761.598,3248,4354,3751.000,1,3,94.259
4,3718.092,3283,4399,3703.500,1,4,95.522
5,3700.088,3173,4368,3690.000,1,5,95.522
6,3708.588,3299,4399,3698.500,1,6,95.522
7,3694.480,3277,4275,3686.500,1,7,95.522
8,3697.473,3237,4393,3686.500,1,8,95.522
9,3670.412,3258,4362,3666.000,1,9,95.522
10,3661.137,3187,4264,3654.000,1,10,85.921
11,3649.351,3225,4274,3634.000,1,11,85.921
12,3659.922,3206,4216,3655.500,1,12,85.921
13,3650.409,3234,4151,3643.000,1,13,85.921
14,3621.746,3114,4153,3615.500,1,14,85.921
15,3614.497,3200,4207,3604.500,1,15,85.921
16,3607.526,3140,4332,3589.000,1,16,85.921
17,3604.560,3168,4401,3573.500,1,17,85.921
18,3585.482,3179,4250,3567.500,1,18,85.921
