 ,Mean,Min,Max,Median,Ch,Frame,Length
1,4877.281,3550,6653,4882.500,1,1,140.907
2,4776.480,3302,6426,4801.000,1,2,199.079
3,4572.379,3243,6121,4628.000,1,3,199.990
4,4499.773,3229,5849,4524.000,1,4,188.772
5,4346.038,3266,5808,4329.500,1,5,209.249
6,4177.221,3216,5518,4147.000,1,6,192.467
7,4098.163,3337,5403,4062.000,1,7,202.422
8,3963.158,3349,5362,3935.000,1,8,202.488
9,3854.688,3180,4822,3834.000,1,9,202.895
10,3779.454,3231,4657,3766.500,1,10,199.001
11,3733.236,3204,4454,3725.500,1,11,203.345
12,3725.699,3239,4700,3709.500,1,12,188.806
13,3709.215,3174,4449,3691.000,1,13,187.408
