 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3357.268,3104,3814,3350.000,2,1,87.570
2,3343.772,3038,3736,3339.000,2,2,101.600
3,3332.390,3096,3685,3332.000,2,3,101.600
4,3307.199,2988,3661,3303.500,2,4,101.600
5,3335.802,3019,3716,3334.500,2,5,101.600
6,3334.635,3051,3681,3327.000,2,6,101.600
7,3358.772,3066,3761,3350.000,2,7,74.300
8,3354.369,3081,3823,3349.000,2,8,74.300
9,3345.384,3046,3753,3340.000,2,9,73.624
10,3341.246,3038,3675,3337.000,2,10,73.624
11,3363.530,3065,3762,3355.000,2,11,73.624
12,3379.846,3065,4041,3373.000,2,12,82.744
13,3381.425,3123,3802,3376.000,2,13,82.744
14,3375.684,3086,3892,3369.000,2,14,82.744
15,3381.511,2996,3806,3376.000,2,15,82.744
16,3385.895,3041,3963,3377.000,2,16,82.744
17,3381.859,3076,3779,3373.000,2,17,82.744
18,3402.804,3059,3975,3398.000,2,18,82.744
