 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3440.424,3057,3928,3430.000,2,1,136.101
2,3479.600,3144,4058,3471.500,2,2,113.427
3,3489.717,3113,4032,3476.500,2,3,101.774
4,3517.110,3125,4105,3508.000,2,4,99.867
5,3538.925,3172,4103,3527.000,2,5,105.112
6,3554.756,3107,4093,3544.000,2,6,114.039
7,3562.264,3156,4091,3554.500,2,7,111.307
8,3553.515,3167,4132,3542.000,2,8,116.806
9,3589.617,3154,4184,3581.000,2,9,116.124
10,3536.682,3138,4342,3523.000,2,10,145.997
11,3536.567,3129,4169,3524.000,2,11,166.295
12,3524.233,3135,4257,3511.500,2,12,176.053
13,3533.631,3134,4170,3526.000,2,13,175.026
14,3538.075,3142,4140,3524.000,2,14,164.856
15,3525.171,3146,4113,3512.000,2,15,164.082
16,3552.835,3139,4281,3541.000,2,16,170.035
17,3566.805,3130,4201,3560.000,2,17,171.908
18,3557.367,3066,4296,3548.000,2,18,170.833
19,3563.085,3072,4219,3554.000,2,19,181.066
