 ,Mean,Min,Max,Median,Ch,Frame,Length
1,4114.644,3532,4859,4115,1,1,127.615
2,4153.462,3441,5281,4141,1,2,127.615
3,4123.485,3528,4845,4109,1,3,127.615
4,4050.010,3442,4794,4036,1,4,127.615
5,4022.565,3438,4682,4012,1,5,127.615
6,3989.661,3424,4749,3972,1,6,127.615
7,3950.404,3386,4853,3937,1,7,127.615
8,3876.423,3301,4666,3861,1,8,127.615
9,3819.289,3325,4560,3807,1,9,127.615
10,3742.241,3216,4512,3734,1,10,127.615
11,3753.738,3250,4527,3745,1,11,127.615
12,3764.674,3327,4523,3753,1,12,127.615
13,3747.286,3300,4427,3737,1,13,127.615
14,3712.479,3251,4352,3705,1,14,127.615
15,3707.614,3255,4343,3704,1,15,127.615
16,3677.677,3231,4182,3665,1,16,127.615
