 ,Mean,Min,Max,Median,Ch,Frame,Length
1,4222.150,3260,5190,4228.000,1,2,144.585
2,4294.660,3379,5283,4277.000,1,1,95.120
3,4128.309,3350,5272,4119.500,1,3,100.857
4,4068.811,3310,5052,4060.000,1,4,102.693
5,4008.054,3466,4887,3997.000,1,5,115.264
6,3952.177,3327,4862,3940.000,1,6,117.250
7,3941.086,3336,4728,3925.000,1,7,110.721
8,3860.252,3304,4588,3854.500,1,8,130.100
9,3869.010,3311,4591,3850.000,1,9,136.026
10,3872.198,3295,4513,3863.500,1,10,130.428
11,3887.411,3296,4965,3874.000,1,11,126.418
12,3892.872,3354,4707,3878.000,1,12,134.373
13,3877.132,3362,4499,3871.000,1,13,135.356
14,3839.732,3250,4634,3828.000,1,14,129.353
15,3818.190,3325,4573,3806.500,1,15,138.576
16,3752.111,3230,4429,3736.000,1,16,120.375
17,3743.550,3247,4397,3734.000,1,17,129.882
18,3744.006,3269,4369,3730.000,1,18,133.551
19,3772.411,3255,4497,3768.000,1,19,129.446
