 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3310.502,3008,3735,3307.500,2,1,103.325
2,3322.481,3005,3711,3318.000,2,2,103.325
3,3319.517,3033,3851,3313.000,2,3,103.325
4,3332.901,3040,3743,3327.000,2,4,103.325
5,3334.179,3041,3746,3329.000,2,5,103.325
6,3347.297,3078,3854,3339.000,2,6,103.325
7,3344.798,3046,3658,3340.000,2,7,103.325
8,3333.080,3002,3742,3329.000,2,8,103.325
9,3343.531,3064,3882,3331.000,2,9,103.325
10,3333.856,3072,3749,3329.000,2,10,103.325
11,3340.559,3050,3763,3334.000,2,11,103.325
12,3329.968,3096,3725,3321.000,2,12,103.325
13,3332.798,3006,3806,3326.000,2,13,103.325
14,3325.832,2995,3669,3321.000,2,14,103.325
15,3337.309,3011,3778,3335.000,2,15,103.325
16,3346.708,3036,3661,3343.500,2,16,103.325
17,3337.592,3067,3654,3332.000,2,17,103.325
18,3337.607,3016,3763,3332.000,2,18,103.325
19,3340.204,3062,3748,3333.000,2,19,103.325
