 ,Mean,Min,Max,Median,Ch,Frame,Length
1,4079.970,3413,5069,4056.500,1,1,141.762
2,4004.308,3315,4789,3996.000,1,2,141.923
3,3991.002,3367,4729,3981.500,1,3,149.957
4,3948.612,3224,4940,3938.000,1,4,133.237
5,3941.635,3382,4924,3926.500,1,5,147.435
6,3887.236,3231,4710,3882.000,1,6,135.762
7,3901.762,3321,4641,3875.000,1,7,137.635
8,3826.084,3231,4691,3819.000,1,8,136.419
9,3812.623,3306,4691,3795.500,1,9,137.687
10,3759.945,3176,4721,3746.000,1,10,162.415
11,3754.617,3230,4519,3745.000,1,11,174.400
12,3747.655,3196,4378,3737.000,1,12,169.623
13,3721.152,3190,4588,3708.500,1,13,169.623
14,3701.242,3178,4611,3691.000,1,14,171.478
15,3730.359,3204,4580,3718.500,1,15,174.633
16,3685.538,3129,4416,3671.000,1,16,176.589
17,3672.418,3208,4326,3666.000,1,17,167.572
18,3639.105,3159,4274,3630.000,1,18,169.261
