 ,Mean,Min,Max,Median,Ch,Frame,Length
1,4961.238,3946,6358,4946.000,1,1,65.893
2,4800.734,3961,5981,4786.000,1,2,60.314
3,4942.874,3782,6037,4926.000,1,3,58.606
4,4863.331,3736,6199,4857.000,1,4,63.466
5,4850.007,3781,6157,4873.000,1,5,68.659
6,4776.563,3714,6036,4758.500,1,6,70.179
7,4730.254,3692,5651,4709.500,1,7,68.661
8,4750.606,3629,6108,4779.500,1,8,66.909
9,4841.860,3873,6279,4833.500,1,9,69.826
10,4689.997,3617,5971,4673.500,1,10,73.233
11,4634.115,3571,6004,4622.000,1,11,83.327
12,4538.795,3511,5776,4542.500,1,12,72.222
13,4565.892,3692,5642,4557.000,1,13,71.602
14,4450.180,3514,5532,4446.500,1,14,71.947
15,4438.098,3660,5374,4431.000,1,15,78.620
16,4361.978,3568,5388,4352.000,1,16,81.952
