 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3385.856,3032,3927,3379.000,2,1,143.234
2,3403.722,3057,3830,3393.000,2,2,151.168
3,3413.704,3118,3935,3404.500,2,3,156.892
4,3396.146,3013,3789,3389.000,2,4,163.333
5,3430.316,3095,3911,3419.000,2,5,157.258
6,3412.937,3002,3869,3410.000,2,6,162.332
7,3433.823,3077,3914,3426.000,2,7,182.386
8,3419.846,3080,3851,3413.000,2,8,239.810
9,3445.987,3110,3993,3438.000,2,9,259.786
10,3447.903,3090,3973,3441.000,2,10,290.447
11,3440.771,3046,3966,3434.500,2,11,294.484
12,3468.127,3117,4051,3456.000,2,12,296.088
13,3458.589,3076,3980,3451.000,2,13,294.360
14,3487.042,3105,4219,3482.000,2,14,271.095
15,3486.199,3110,4188,3474.000,2,15,276.315
16,3484.787,3121,4081,3473.000,2,16,262.072
