 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3484.206,3114,4024,3469.000,2,1,74.208
2,3496.394,3154,4071,3484.000,2,2,68.212
3,3508.585,3060,4108,3490.000,2,3,80.808
4,3467.581,3134,3998,3460.000,2,4,74.901
5,3509.290,3091,4188,3489.500,2,5,75.541
6,3496.058,3089,4086,3486.000,2,6,72.644
7,3523.526,3174,4226,3510.000,2,7,63.060
8,3486.821,3086,4035,3485.000,2,8,62.948
9,3460.973,3093,3951,3448.500,2,9,70.187
10,3459.364,3112,3997,3441.000,2,10,73.734
11,3471.158,3157,3951,3458.500,2,11,56.700
12,3538.426,3211,4229,3524.000,2,12,59.102
13,3490.396,3084,3988,3487.000,2,13,67.889
14,3498.413,3162,4007,3480.000,2,14,68.567
15,3503.198,3122,4024,3491.500,2,15,76.157
16,3493.958,3106,4082,3485.000,2,16,94.227
17,3466.876,3148,4011,3459.000,2,17,82.979
18,3469.205,3138,3910,3466.000,2,18,77.920
