 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3904.865,3267,4692,3902.500,1,1,92.336
2,3915.965,3184,4690,3904.500,1,2,92.336
3,3919.918,3337,4917,3910.500,1,3,92.336
4,3902.053,3226,4597,3893.500,1,4,92.686
5,3952.209,3423,4710,3940.000,1,5,92.686
6,3932.067,3212,5023,3923.000,1,6,94.789
7,3931.107,3341,4742,3918.500,1,7,94.789
8,3942.005,3268,4770,3939.000,1,8,94.789
9,3930.222,3295,4666,3924.500,1,9,94.789
10,3917.466,3333,4769,3895.000,1,10,94.789
11,3917.331,3343,4625,3915.000,1,11,94.768
12,3923.749,3359,4758,3911.000,1,12,94.768
13,3887.328,3231,4619,3880.500,1,13,95.001
14,3906.364,3269,4825,3897.000,1,14,95.001
15,3896.220,3247,4756,3882.000,1,15,93.840
16,3887.800,3267,4593,3874.000,1,16,93.298
17,3905.165,3379,4624,3890.000,1,17,93.298
18,3874.741,3285,4818,3862.000,1,18,93.434
19,3878.244,3331,4651,3856.000,1,19,93.434
20,3868.755,3357,4731,3841.000,1,20,93.434
21,3885.098,3380,4764,3867.000,1,21,93.434
22,3891.063,3275,4783,3876.000,1,22,92.323
23,3875.981,3287,4608,3876.500,1,23,92.323
24,3873.196,3309,4622,3858.000,1,24,89.498
25,3879.708,3272,4643,3879.000,1,25,89.498
26,3851.538,3324,4632,3830.000,1,26,89.498
27,3870.577,3302,4621,3847.000,1,27,89.498
28,3854.445,3307,4777,3838.000,1,28,89.498
29,3869.194,3260,4642,3856.000,1,29,89.498
30,3860.760,3311,4746,3843.000,1,30,89.498
31,3841.434,3364,4634,3818.000,1,31,89.498
32,3843.783,3282,4457,3834.000,1,32,89.498
33,3841.536,3237,4649,3831.000,1,33,89.516
34,3846.135,3295,4621,3833.000,1,34,89.516
35,3832.706,3187,4624,3817.000,1,35,89.516
36,3849.338,3290,4713,3833.000,1,36,89.516
37,3828.431,3267,4541,3818.000,1,37,89.488
38,3831.014,3278,4933,3806.000,1,38,89.488
39,3842.186,3263,4537,3831.000,1,39,88.438
40,3831.810,3250,4701,3823.000,1,40,88.438
41,3845.275,3260,4605,3831.500,1,41,88.438
42,3842.764,3225,4675,3821.500,1,42,88.438
43,3810.930,3270,4738,3804.500,1,43,88.438
44,3840.206,3273,4774,3822.000,1,44,88.620
45,3832.046,3275,4981,3823.000,1,45,88.620
46,3828.209,3306,4603,3824.000,1,46,88.620
47,3847.778,3330,4571,3838.000,1,47,88.620
48,3826.169,3230,4613,3812.000,1,48,88.620
49,3819.522,3252,4689,3808.000,1,49,88.620
50,3832.668,3308,4668,3815.000,1,50,88.620
51,3830.060,3281,4640,3810.000,1,51,88.620
52,3845.064,3254,4505,3832.500,1,52,88.620
53,3824.202,3324,4452,3803.500,1,53,88.620
54,3829.637,3250,4873,3813.500,1,54,88.620
55,3823.962,3244,4559,3811.000,1,55,88.314
56,3827.191,3298,4672,3814.000,1,56,88.314
57,3812.211,3187,4546,3796.000,1,57,88.314
58,3828.882,3285,4764,3805.500,1,58,86.855
59,3809.580,3276,4829,3774.000,1,59,86.855
60,3826.622,3239,4762,3813.000,1,60,86.855
61,3840.704,3324,4562,3833.000,1,61,86.855
62,3819.713,3299,4615,3805.500,1,62,86.855
63,3838.546,3310,4637,3816.000,1,63,86.909
64,3818.051,3354,4641,3801.000,1,64,86.909
65,3838.565,3312,4525,3825.000,1,65,86.909
66,3812.923,3266,4687,3801.000,1,66,86.909
67,3832.403,3327,4683,3821.000,1,67,86.909
68,3830.788,3222,4488,3817.000,1,68,86.909
69,3816.438,3295,4743,3793.000,1,69,86.909
70,3811.475,3316,4670,3800.000,1,70,87.673
71,3834.070,3233,4595,3826.000,1,71,87.673
72,3807.391,3138,4654,3803.000,1,72,87.673
73,3812.655,3253,4644,3804.000,1,73,87.673
74,3814.053,3229,4461,3800.500,1,74,87.744
75,3809.718,3177,4517,3794.500,1,75,87.744
76,3811.398,3281,4545,3807.000,1,76,87.744
77,3806.207,3285,4636,3794.500,1,77,87.744
78,3815.106,3262,4496,3808.500,1,78,87.744
79,3803.831,3315,4536,3794.000,1,79,87.744
80,3794.279,3308,4461,3784.500,1,80,87.744
81,3799.284,3280,4574,3783.000,1,81,87.744
82,3815.239,3277,4727,3797.000,1,82,87.744
83,3799.682,3298,4620,3786.500,1,83,87.744
84,3802.262,3276,4584,3793.000,1,84,86.699
85,3798.758,3272,4461,3796.000,1,85,86.699
86,3813.406,3122,4489,3803.000,1,86,86.699
87,3796.967,3233,4691,3784.000,1,87,86.699
88,3783.548,3224,4596,3772.000,1,88,86.699
89,3792.362,3251,4459,3778.000,1,89,86.699
90,3796.252,3242,4730,3782.000,1,90,86.699
91,3792.904,3288,4625,3781.000,1,91,86.699
92,3780.138,3184,4493,3766.000,1,92,86.699
93,3816.056,3221,4647,3800.000,1,93,86.699
