 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3942.555,3183,5451,3910.000,2,1,137.685
2,3946.668,3158,5332,3949.000,2,2,127.711
3,3964.587,3147,5171,3960.000,2,3,107.974
4,3901.412,3119,5330,3886.000,2,4,127.869
5,3942.328,3234,5263,3909.500,2,5,123.200
6,3893.617,3122,5094,3869.000,2,6,114.138
7,3778.749,3149,5030,3711.000,2,7,121.671
8,3770.488,3116,5011,3718.000,2,8,123.168
9,3663.762,3067,4632,3623.000,2,9,120.756
10,3528.719,3071,4605,3477.000,2,10,129.466
11,3620.670,3104,5352,3549.500,2,11,133.220
12,3687.239,3132,5013,3655.000,2,12,131.777
13,3656.399,3063,5097,3587.500,2,13,164.040
14,3638.843,3158,5315,3567.000,2,14,166.695
15,3641.780,3129,5616,3550.000,2,15,184.500
16,3555.388,3029,5241,3450.000,2,16,199.500
17,3526.460,3117,4779,3431.000,2,17,202.224
18,3547.574,3037,4680,3454.000,2,18,195.298
19,3491.912,3052,5297,3389.000,2,19,208.815
20,3512.982,3038,5591,3389.000,2,20,211.809
21,3472.861,3033,5110,3386.000,2,21,215.448
22,3458.340,3045,5136,3378.000,2,22,219.709
23,3463.774,3040,4976,3391.000,2,23,228.795
24,3436.708,3019,4956,3358.000,2,24,236.742
25,3437.499,3052,4889,3368.500,2,25,234.458
26,3411.594,3056,4951,3344.000,2,26,246.339
27,3433.668,3036,4791,3351.000,2,27,239.854
28,3468.649,3071,4504,3381.000,2,28,244.229
29,3401.596,3075,4302,3355.000,2,29,247.081
30,3373.382,2991,4676,3318.000,2,30,247.081
31,3428.057,3036,5069,3341.000,2,31,250.228
32,3441.499,3063,5073,3350.000,2,32,228.775
33,3426.346,3046,5192,3341.000,2,33,235.158
34,3416.452,3006,5165,3343.000,2,34,235.319
35,3393.365,3031,5249,3330.000,2,35,235.319
36,3396.289,3027,4839,3342.000,2,36,233.803
37,3387.761,3008,4723,3341.000,2,37,233.803
