 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3696.091,3238,4226,3688.000,1,1,90.221
2,3581.826,3227,4053,3571.000,1,2,96.979
3,3539.254,3143,4036,3532.000,1,3,99.808
4,3488.350,3172,3896,3485.000,1,4,106.771
5,3477.549,3139,3933,3471.000,1,5,109.090
6,3461.271,3109,3950,3453.000,1,6,117.532
7,3453.527,3148,3914,3447.000,1,7,123.405
8,3446.395,3103,3905,3433.000,1,8,138.806
9,3404.943,3104,3825,3394.000,1,9,149.448
10,3417.809,3042,3897,3409.000,1,10,160.761
11,3398.932,3115,3998,3387.000,1,11,173.943
12,3418.897,3083,3791,3410.000,1,12,179.594
13,3409.468,3087,3943,3400.500,1,13,184.140
14,3419.182,3126,3868,3411.000,1,14,186.897
15,3430.755,3099,3865,3426.000,1,15,188.653
16,3435.807,3092,3863,3428.000,1,16,192.704
17,3435.255,3072,3903,3424.000,1,17,201.025
18,3434.162,3085,3931,3426.000,1,18,197.410
19,3436.919,3143,3933,3429.000,1,19,205.718
20,3425.264,3093,3881,3419.000,1,20,201.714
21,3422.650,3079,3933,3418.500,1,21,197.264
22,3426.346,3103,3827,3421.000,1,22,220.155
23,3411.822,3091,3823,3404.000,1,23,217.704
24,3393.697,3110,3836,3386.000,1,24,210.940
25,3429.561,3070,3867,3424.000,1,25,202.909
26,3412.084,3072,3770,3410.000,1,26,199.264
27,3399.440,3131,3729,3394.000,1,27,208.556
28,3408.088,3137,3790,3403.000,1,28,206.224
29,3383.545,3083,3794,3380.000,1,29,209.927
30,3390.792,3027,3780,3388.000,1,30,199.883
31,3384.425,3094,3820,3382.000,1,31,205.237
32,3386.017,3103,3776,3382.000,1,32,194.177
33,3408.112,3124,3843,3404.000,1,33,199.489
34,3380.951,3082,3844,3377.000,1,34,214.039
35,3406.568,3120,3757,3405.000,1,35,223.577
36,3385.034,3006,3817,3380.000,1,36,238.826
37,3379.547,3097,3760,3377.000,1,37,239.124
