 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3320.762,3092,3556,3316.000,2,1,51.996
2,3318.002,3094,3616,3313.000,2,2,51.996
3,3304.181,3062,3540,3298.000,2,3,73.500
4,3307.702,3059,3640,3310.000,2,4,73.500
5,3305.336,3026,3624,3300.000,2,5,73.026
6,3302.102,3080,3521,3304.500,2,6,73.500
7,3290.558,3029,3564,3290.000,2,7,73.880
8,3311.894,3056,3592,3310.000,2,8,73.500
9,3304.442,3090,3584,3302.000,2,9,73.500
10,3294.552,3078,3538,3289.000,2,10,73.500
11,3303.248,3055,3577,3302.000,2,11,79.925
12,3291.873,3094,3621,3288.000,2,12,79.925
13,3305.097,3098,3567,3303.000,2,13,79.925
14,3301.769,3024,3563,3300.000,2,14,79.925
15,3275.012,3025,3595,3272.000,2,15,79.925
16,3291.439,3080,3593,3291.000,2,16,79.925
17,3302.316,3047,3538,3300.000,2,17,79.925
18,3298.777,3108,3571,3295.000,2,18,79.925
19,3291.508,3040,3571,3293.000,2,19,79.925
20,3291.695,3080,3554,3290.000,2,20,79.925
21,3281.136,3032,3508,3283.000,2,21,79.925
22,3286.159,3055,3531,3288.000,2,22,79.925
23,3295.875,3036,3555,3297.000,2,23,79.925
24,3297.999,3024,3602,3296.000,2,24,79.925
25,3306.698,3068,3612,3306.000,2,25,79.925
26,3291.340,3087,3556,3291.000,2,26,79.925
27,3319.092,3064,3574,3315.000,2,27,79.925
28,3304.333,3042,3676,3304.000,2,28,79.925
29,3317.311,3118,3586,3316.000,2,29,79.925
30,3297.919,3089,3632,3298.000,2,30,79.925
31,3299.720,3045,3594,3297.000,2,31,79.925
32,3287.650,3085,3618,3285.000,2,32,79.925
33,3297.819,3090,3560,3295.000,2,33,79.925
