 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3498.580,3186,4028,3494.000,1,1,96.279
2,3526.034,3174,4001,3517.500,1,2,96.279
3,3496.481,3136,3952,3494.000,1,3,87.536
4,3530.756,3154,3915,3526.000,1,4,111.142
5,3520.770,3200,4097,3512.500,1,5,111.142
6,3494.396,3177,3799,3491.000,1,6,111.142
7,3524.516,3203,3997,3523.000,1,7,111.142
8,3521.553,3169,3993,3514.000,1,8,146.164
9,3508.674,3223,3948,3505.000,1,9,146.164
10,3484.434,3130,4153,3479.000,1,10,146.164
11,3470.523,3170,3886,3465.000,1,11,146.164
12,3461.054,3190,3833,3457.000,1,12,146.164
13,3464.672,3127,3861,3462.000,1,13,146.164
14,3435.339,3083,3976,3432.000,1,14,146.164
15,3433.942,3117,3786,3432.000,1,15,146.164
16,3434.785,3119,3774,3434.000,1,16,146.164
17,3456.411,3086,3883,3455.000,1,17,146.164
18,3459.771,3126,3915,3454.000,1,18,146.164
19,3454.944,3131,3863,3451.000,1,19,146.164
20,3401.849,3123,3743,3399.000,1,20,157.354
21,3407.823,3078,3733,3403.000,1,21,157.354
22,3440.715,3123,3822,3438.000,1,22,157.354
23,3413.814,3101,3782,3411.000,1,23,158.532
24,3424.265,3024,3872,3420.000,1,24,158.532
25,3443.130,3168,3897,3439.000,1,25,158.532
26,3438.165,3135,3911,3434.000,1,26,158.532
27,3426.513,3132,3869,3421.000,1,27,158.532
28,3423.274,3057,3822,3419.500,1,28,158.532
29,3447.190,3154,3940,3444.000,1,29,158.532
30,3416.220,3061,3866,3412.000,1,30,158.532
31,3472.123,3166,3863,3465.000,1,31,158.532
32,3457.256,3163,3803,3452.000,1,32,158.532
33,3481.909,3203,3848,3480.000,1,33,158.532
34,3472.978,3067,3844,3472.000,1,34,158.532
35,3484.003,3164,3866,3480.500,1,35,158.532
36,3476.110,3119,3922,3468.500,1,36,158.532
37,3472.060,3163,3900,3467.500,1,37,158.532
