 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3681.183,3256,4174,3671.000,1,1,11.035
2,3647.916,3275,4218,3650.500,1,2,15.644
3,3640.428,3196,4039,3638.500,1,3,19.940
4,3634.629,3185,4095,3626.000,1,4,19.891
5,3607.541,3279,4151,3582.000,1,5,17.070
6,3639.545,3324,4125,3623.000,1,6,20.167
7,3710.592,3349,4383,3701.000,1,7,24.959
8,3640.044,3238,4178,3626.000,1,8,28.309
9,3633.588,3282,4235,3614.000,1,9,35.563
10,3608.154,3282,4132,3603.000,1,10,35.865
11,3604.384,3136,4068,3596.000,1,11,41.953
12,3587.246,3266,4080,3571.000,1,12,38.248
13,3667.391,3286,4201,3666.000,1,13,41.243
14,3635.193,3187,4126,3635.000,1,14,29.171
15,3651.103,3174,4303,3639.000,1,15,29.274
16,3669.255,3153,4177,3656.000,1,16,31.627
17,3624.672,3180,4093,3614.000,1,17,32.476
18,3642.581,3254,4346,3633.000,1,18,26.871
19,3649.120,3212,4105,3631.000,1,19,28.926
20,3639.347,3289,4050,3629.000,1,20,20.770
