 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3256.434,3023,3565,3251.000,2,1,49.092
2,3277.242,3021,3569,3275.000,2,2,49.092
3,3260.162,3050,3538,3252.000,2,3,49.092
4,3270.082,3023,3535,3273.000,2,4,49.092
5,3278.267,2999,3482,3273.000,2,5,49.092
6,3281.322,2999,3560,3281.000,2,6,49.092
7,3290.301,3053,3648,3286.000,2,7,48.890
8,3292.566,3078,3596,3288.500,2,8,48.166
9,3283.923,3030,3555,3279.000,2,9,48.166
10,3300.538,3067,3590,3296.500,2,10,48.166
11,3287.207,3032,3545,3277.500,2,11,48.166
12,3338.372,3020,3751,3331.500,2,12,48.166
13,3308.652,2986,3699,3307.500,2,13,47.352
14,3313.961,3058,3653,3309.000,2,14,47.352
15,3321.214,3047,3646,3315.000,2,15,47.352
16,3336.714,3092,3694,3330.500,2,16,47.352
17,3326.387,3037,3613,3323.000,2,17,47.352
18,3344.765,3102,3711,3348.000,2,18,47.352
19,3346.887,3109,3753,3342.000,2,19,47.352
20,3350.956,3047,3636,3347.000,2,20,47.352
