 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3297.108,2986,3648,3293.000,2,1,130.207
2,3304.447,3063,3671,3297.000,2,2,161.573
3,3331.439,2970,3774,3323.000,2,3,168.901
4,3361.893,3015,3907,3354.000,2,4,170.235
5,3398.367,3080,4097,3385.000,2,5,155.185
6,3410.615,3074,3944,3401.000,2,6,143.172
7,3403.966,3075,3902,3396.000,2,7,145.879
8,3389.102,3023,3942,3380.500,2,8,151.272
9,3365.096,3049,4011,3354.000,2,9,161.161
10,3372.809,3045,3733,3367.000,2,10,141.174
11,3395.062,3083,3938,3387.000,2,11,146.380
12,3394.247,3100,3964,3380.000,2,12,140.665
13,3408.578,3093,3819,3399.000,2,13,132.331
14,3413.306,3059,3926,3400.000,2,14,129.560
15,3415.906,3062,3873,3408.500,2,15,129.560
16,3422.166,3107,4000,3418.000,2,16,128.070
