 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3508.862,3166,3868,3503.000,1,1,96.421
2,3480.487,3158,3896,3478.500,1,2,96.421
3,3471.960,3167,3784,3470.000,1,3,92.195
4,3456.409,3166,3758,3454.000,1,4,92.195
5,3466.732,3188,3918,3457.000,1,5,92.195
6,3449.518,3096,3818,3443.000,1,6,92.195
7,3477.161,3167,3814,3476.000,1,7,92.195
8,3457.177,3158,3830,3453.000,1,8,92.195
9,3451.332,3148,3792,3448.000,1,9,87.092
10,3457.685,3211,3772,3451.000,1,10,87.092
11,3443.887,3203,3821,3441.500,1,11,87.092
12,3463.063,3225,3855,3454.500,1,12,87.092
13,3453.456,3175,3757,3450.000,1,13,85.094
14,3437.486,3176,3762,3435.000,1,14,85.094
15,3453.127,3169,3780,3451.000,1,15,95.336
16,3438.820,3137,3773,3436.000,1,16,95.336
17,3454.791,3187,3792,3453.500,1,17,95.336
18,3451.718,3174,3980,3451.000,1,18,95.336
19,3456.620,3167,3861,3454.500,1,19,95.336
20,3440.116,3092,3774,3433.000,1,20,95.336
21,3447.466,3173,3771,3446.500,1,21,95.336
22,3447.592,3135,3957,3449.500,1,22,95.336
23,3445.286,3151,3785,3444.000,1,23,95.336
24,3438.254,3163,3870,3434.000,1,24,95.336
25,3446.082,3158,3802,3442.500,1,25,95.336
26,3440.697,3116,3817,3439.000,1,26,95.336
27,3450.036,3160,3759,3446.500,1,27,95.336
28,3441.508,3180,3806,3440.000,1,28,95.336
29,3448.842,3176,3818,3449.000,1,29,95.336
30,3439.528,3130,3809,3438.000,1,30,95.336
31,3450.107,3164,3863,3445.000,1,31,95.336
32,3429.547,3149,3820,3423.500,1,32,95.336
33,3456.523,3174,3783,3451.000,1,33,95.336
34,3417.910,3133,3730,3416.000,1,34,95.336
35,3431.391,3118,3795,3430.000,1,35,95.336
36,3420.612,3130,3736,3420.000,1,36,92.022
37,3431.841,3119,3850,3430.000,1,37,92.022
