 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3585.701,3148,4344,3557.000,1,1,57.591
2,3459.093,3112,3949,3451.000,1,2,81.060
3,3414.341,3105,3806,3409.000,1,3,72.344
4,3418.516,3158,3809,3414.000,1,4,58.085
5,3377.381,3062,3710,3371.500,1,5,47.662
6,3396.051,3163,3725,3390.000,1,6,51.671
7,3381.371,3120,3709,3371.500,1,7,50.656
8,3380.126,3121,3666,3375.000,1,8,46.083
9,3383.122,3107,3652,3379.000,1,9,43.827
10,3398.521,3156,3753,3392.000,1,10,41.683
11,3394.359,3109,3708,3392.000,1,11,36.555
12,3400.659,3111,3756,3391.000,1,12,40.077
13,3388.839,3131,3807,3385.000,1,13,39.310
14,3367.392,3068,3601,3369.000,1,14,40.465
15,3384.263,3158,3680,3379.000,1,15,49.335
16,3391.658,3105,3784,3387.000,1,16,47.084
17,3394.906,3054,3760,3392.000,1,17,41.256
18,3386.657,3109,3704,3386.000,1,18,55.355
19,3357.988,3084,3684,3352.500,1,19,57.605
20,3389.483,3117,3749,3385.000,1,20,52.446
21,3372.442,3053,3676,3373.000,1,21,62.343
22,3385.403,3099,3693,3377.500,1,22,66.407
23,3398.906,3089,3797,3393.000,1,23,72.721
24,3411.459,3133,3786,3407.000,1,24,62.313
25,3403.005,3088,3783,3392.500,1,25,78.656
26,3421.233,3132,3822,3413.000,1,26,82.183
27,3398.462,3107,3871,3391.000,1,27,84.080
28,3402.499,3062,3871,3396.000,1,28,93.405
29,3398.452,3111,3876,3389.500,1,29,103.398
30,3431.244,3097,3887,3418.000,1,30,96.769
31,3420.268,3107,3854,3407.000,1,31,107.784
32,3425.874,3111,3839,3414.000,1,32,106.065
33,3444.513,3128,3852,3439.000,1,33,93.992
34,3417.342,3123,3886,3409.000,1,34,95.134
35,3417.337,3120,3805,3409.500,1,35,101.937
36,3408.384,3111,3858,3398.000,1,36,100.841
37,3412.091,3130,3850,3407.000,1,37,116.987
