 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3246.423,3032,3471,3248,2,1,77.383
2,3233.251,3000,3494,3233,2,2,77.383
3,3244.020,3036,3515,3239,2,3,64.058
4,3228.949,3039,3477,3229,2,4,64.058
5,3225.190,3042,3482,3228,2,5,64.058
6,3242.919,3062,3511,3241,2,6,64.058
7,3237.816,2983,3522,3238,2,7,64.058
8,3230.482,3041,3528,3229,2,8,64.058
9,3243.262,2932,3480,3242,2,9,64.058
10,3238.534,3027,3458,3239,2,10,64.058
11,3234.061,3007,3516,3230,2,11,64.058
12,3233.139,3021,3509,3237,2,12,64.058
13,3235.357,3024,3450,3235,2,13,64.058
14,3222.557,3006,3461,3221,2,14,64.058
15,3238.265,2991,3489,3237,2,15,64.058
16,3243.568,2970,3532,3240,2,16,64.058
17,3240.211,3057,3517,3237,2,17,64.058
18,3235.861,2990,3434,3237,2,18,64.058
19,3235.302,3017,3464,3231,2,19,64.058
20,3232.096,3012,3476,3233,2,20,64.058
21,3222.326,3014,3489,3221,2,21,64.058
22,3231.028,3002,3444,3228,2,22,64.058
23,3246.833,2991,3468,3248,2,23,64.058
24,3241.107,3007,3514,3240,2,24,64.058
25,3240.773,2985,3507,3237,2,25,64.058
26,3240.744,2942,3481,3238,2,26,64.058
27,3227.779,3021,3515,3228,2,27,64.058
28,3234.833,3010,3486,3235,2,28,64.058
29,3216.453,3025,3514,3211,2,29,64.058
30,3236.518,3007,3487,3234,2,30,64.058
31,3233.213,2994,3539,3234,2,31,64.058
32,3238.436,3032,3486,3237,2,32,64.058
33,3239.905,3060,3474,3239,2,33,64.058
34,3240.825,2979,3495,3236,2,34,64.058
35,3243.991,3036,3454,3243,2,35,64.058
36,3241.234,3020,3579,3241,2,36,64.058
37,3233.196,2999,3479,3230,2,37,64.058
