 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3240.527,2976,3473,3241.000,2,1,86.996
2,3234.089,2981,3492,3234.000,2,2,101.203
3,3217.667,2948,3499,3218.000,2,3,73.883
4,3231.735,3015,3518,3232.500,2,4,70.847
5,3228.813,2995,3508,3225.000,2,5,76.936
6,3233.343,3003,3513,3232.000,2,6,86.064
7,3232.796,3023,3487,3232.500,2,7,57.869
8,3227.437,3009,3501,3229.000,2,8,51.903
9,3245.588,2948,3506,3242.000,2,9,67.161
10,3264.165,3040,3498,3263.000,2,10,57.830
11,3233.710,2989,3529,3233.000,2,11,50.068
12,3253.129,3010,3520,3253.500,2,12,57.786
13,3248.189,3030,3511,3249.000,2,13,71.052
14,3254.412,3023,3544,3251.000,2,14,58.717
15,3257.400,2994,3563,3255.500,2,15,59.986
16,3244.388,3005,3541,3242.000,2,16,73.298
17,3257.192,2977,3521,3253.500,2,17,75.092
18,3265.777,3024,3524,3263.500,2,18,63.266
19,3247.763,2914,3554,3241.500,2,19,79.667
20,3269.757,2976,3622,3268.000,2,20,79.175
21,3254.132,3006,3554,3249.000,2,21,85.213
22,3297.312,3027,3743,3292.000,2,22,100.165
23,3302.068,2955,3746,3294.000,2,23,96.783
24,3303.148,2993,3817,3296.000,2,24,88.077
25,3328.536,3043,3858,3322.000,2,25,92.492
26,3337.950,2979,3916,3321.000,2,26,94.425
27,3358.041,2957,3935,3339.000,2,27,93.570
28,3399.277,3023,3962,3376.000,2,28,95.645
29,3419.603,3039,4219,3393.000,2,29,93.173
30,3434.591,3015,4063,3411.500,2,30,97.861
31,3439.444,3038,4132,3426.500,2,31,96.716
32,3412.437,3088,3940,3398.000,2,32,94.963
33,3401.278,3016,3930,3390.000,2,33,111.219
34,3438.520,3071,4039,3418.000,2,34,108.416
35,3427.170,3095,4122,3415.000,2,35,108.930
36,3405.729,3080,4093,3389.500,2,36,111.769
37,3436.128,3012,4049,3424.500,2,37,108.466
