 ,Value
1,6289.326
2,6817.213
3,6552.923
4,5989.049
5,5574.476
6,5212.603
7,5409.345
8,5411.193
9,5667.154
10,5657.998
11,5387.195
12,5217.343
13,5354.676
14,5256.987
15,5187.267
16,5121.381
17,5075.932
18,4984.720
19,4970.796
20,4877.474
21,4856.503
22,4706.674
23,5026.143
24,5407.648
25,5812.885
26,6032.765
27,5704.034
28,5325.549
29,5094.068
30,5038.469
31,4926.575
32,4934.238
33,5080.769
34,5374.295
35,5274.697
36,5138.546
37,5053.484
38,4929.656
39,4711.958
40,4589.847
41,4389.280
42,4323.478
43,4235.983
44,4355.831
45,4399.889
46,4357.369
47,4354.511
48,4510.753
49,4580.998
50,4668.868
51,4916.731
52,5356.052
53,5879.663
54,5884.605
55,5424.175
56,5512.759
57,5743.105
