 ,Value
1,3612.523
2,3605.378
3,3676.123
4,3592.416
5,3639.636
6,3649.504
7,3715.362
8,3673.351
9,3655.471
10,3647.823
11,3685.608
12,3733.134
13,3775.336
14,3700.011
15,3680.702
16,3660.831
17,3706.879
18,3705.043
19,3696.844
20,3628.123
21,3582.831
22,3616.380
23,3584.296
24,3636.720
25,3610.298
26,3640.905
27,3599.905
28,3580.203
29,3566.753
30,3529.729
31,3565.669
32,3519.650
33,3496.579
34,3554.174
35,3587.261
36,3554.857
37,3606.086
38,3568.847
39,3558.043
40,3527.856
41,3542.145
42,3605.110
43,3645.693
44,3640.164
45,3557.305
46,3561.806
47,3577.815
48,3618.029
49,3640.382
50,3606.853
51,3671.880
52,3599.921
53,3642.908
54,3625.941
55,3577.986
56,3642.190
57,3782.853
58,3709.142
59,3645.938
60,3573.156
61,3587.427
62,3546.506
63,3546.555
64,3639.109
65,3634.232
66,3645.505
67,3699.488
68,3627.317
69,3667.198
70,3627.346
71,3698.596
72,3691.288
73,3660.404
