X	Y
435.000	226.000
435.945	225.667
436.890	225.334
437.835	225.001
438.781	224.668
439.726	224.336
440.671	224.003
441.617	223.671
442.562	223.339
443.508	223.008
444.454	222.677
445.400	222.347
446.346	222.017
447.293	221.687
448.239	221.359
449.186	221.030
450.133	220.703
451.081	220.376
452.028	220.050
452.976	219.724
453.924	219.399
454.872	219.075
455.821	218.752
456.769	218.429
457.718	218.107
458.668	217.786
459.617	217.466
460.567	217.147
461.517	216.828
462.468	216.511
463.418	216.194
464.369	215.877
465.320	215.562
466.272	215.247
467.223	214.934
468.175	214.620
469.127	214.308
470.080	213.996
471.032	213.684
471.985	213.374
472.938	213.063
473.891	212.754
474.844	212.445
475.797	212.136
476.751	211.827
477.704	211.519
478.658	211.212
479.612	210.905
480.566	210.598
481.520	210.292
482.474	209.986
483.429	209.680
484.383	209.375
485.338	209.070
486.292	208.765
487.247	208.460
488.202	208.156
489.157	207.852
490.112	207.548
491.067	207.245
492.022	206.941
492.977	206.638
493.932	206.335
494.887	206.032
495.843	205.730
496.798	205.427
497.753	205.125
498.709	204.823
499.664	204.521
500.620	204.219
501.576	203.917
502.531	203.615
503.487	203.314
504.442	203.012
505.398	202.711
506.354	202.409
507.310	202.108
508.265	201.807
509.221	201.506
510.177	201.204
511.133	200.903
512.088	200.602
513.044	200.301
514.000	200.000
