 ,Value,
1,3662.751,
2,3718.085,
3,3682.396,
4,3777.351,
5,3860.292,
6,3852.286,
7,3809.324,
8,3814.166,
9,3759.779,
10,3706.271,
11,3677.096,
12,3741.605,
13,3683.880,
14,3593.322,
15,3584.537,
16,3565.683,
17,3614.350,
18,3609.000,
19,3557.160,
20,3525.119,
21,3570.710,
22,3681.141,
23,3603.072,
24,3596.470,
25,3707.618,
26,3722.076,
27,3717.669,
28,3733.390,
29,3801.785,
30,3730.313,
31,3866.278,
32,3868.954,
33,3856.980,
34,3963.420,
35,3995.179,
36,3978.895,
37,3968.927,
38,4014.249,
39,3909.823,
40,3892.488,
41,3887.853,
42,3826.535,
43,3883.888,
44,3775.423,
45,3723.934,
46,3828.621,
47,3901.376,
48,3882.414,
49,3955.200,
50,3899.222,
51,3808.023,
52,3694.150,
53,3736.917,
54,3713.175,
55,3682.590,
56,3723.385,
57,3798.140,
58,3777.500,
59,3761.201,
60,3817.655,
61,3915.771,
62,3907.737,
63,3751.055,
64,3769.510,
65,3791.286,
66,3743.755,
67,3822.612,
68,3805.461,
69,3926.729,
70,3899.239,
71,3802.593,
72,3742.300,
73,3705.420,
74,3648.010,
75,3618.126,
76,3622.816,
77,3619.920,
78,3624.684,
79,3620.199,
80,3671.691,
81,3661.507,
82,3617.367,
83,3617.533,
84,3595.272,
85,3634.412,
86,3659.083,
87,3546.972,
88,3545.669,
89,3578.658,
90,3555.650,
91,3484.768,
92,3555.825,
93,3614.686,
94,3623.196,
95,3605.027,
96,3621.817,
97,3549.437,
98,3517.911,
99,3561.045,
100,3631.470,
101,3632.272,
102,3646.012,
103,3626.264,
104,3624.119,
105,3558.545,
106,3646.368,
107,3596.126,
108,3574.094,
109,3596.127,
110,3663.209,
111,3575.455,
112,3543.625,
113,3608.846,
114,3568.098,
115,3600.496,
116,3571.485,
117,3621.588,
118,3611.583,
119,3549.388,
120,3560.791,
121,3577.142,
122,3574.931,
123,3602.623,
124,3537.633,
125,3586.492,
126,3658.981,
127,3575.212,
128,3635.591,
129,3617.148,
130,3617.843,
131,3563.995,
132,3573.829,
133,3523.557,
134,3583.564,
135,3644.155,
136,3593.398,
137,3555.259,
138,3554.566,
