X	Y	
160.833	489.167	
160.564	488.203	
160.295	487.239	
160.026	486.276	
159.757	485.312	
159.487	484.349	
159.218	483.385	
158.948	482.422	
158.677	481.459	
158.406	480.496	
158.134	479.533	
157.862	478.570	
157.589	477.608	
157.316	476.646	
157.041	475.683	
156.766	474.722	
156.489	473.760	
156.212	472.799	
155.933	471.838	
155.653	470.878	
155.371	469.918	
155.088	468.958	
154.804	467.999	
154.517	467.040	
154.228	466.082	
153.938	465.125	
153.644	464.169	
153.349	463.213	
153.050	462.258	
152.748	461.304	
152.442	460.352	
152.133	459.400	
151.819	458.450	
151.501	457.502	
151.177	456.555	
150.848	455.611	
150.514	454.667	
150.178	453.725	
149.838	452.784	
149.498	451.843	
149.159	450.902	
148.821	449.960	
148.486	449.018	
148.155	448.073	
147.830	447.127	
147.511	446.179	
147.200	445.228	
146.896	444.275	
146.600	443.319	
146.311	442.361	
146.031	441.401	
145.758	440.439	
145.493	439.474	
145.235	438.507	
144.984	437.539	
144.739	436.569	
144.501	435.597	
144.269	434.624	
144.043	433.649	
143.823	432.673	
143.609	431.696	
143.401	430.717	
143.199	429.738	
143.002	428.757	
142.811	427.775	
142.626	426.791	
142.447	425.807	
142.273	424.822	
142.105	423.836	
141.944	422.848	
141.788	421.860	
141.639	420.871	
141.495	419.881	
141.358	418.890	
141.227	417.898	
141.103	416.905	
140.985	415.912	
140.874	414.917	
140.770	413.922	
140.672	412.927	
140.582	411.930	
140.499	410.933	
140.424	409.936	
140.357	408.937	
140.297	407.939	
140.245	406.940	
140.202	405.940	
140.168	404.940	
140.142	403.940	
140.126	402.940	
140.118	401.939	
140.122	400.939	
140.134	399.939	
140.158	398.938	
140.192	397.939	
140.237	396.939	
140.294	395.940	
140.364	394.942	
140.445	393.945	
140.540	392.949	
140.649	391.955	
140.771	390.962	
140.909	389.971	
141.062	388.982	
141.230	387.996	
141.412	387.012	
141.610	386.031	
141.822	385.054	
142.048	384.079	
142.289	383.108	
142.544	382.141	
142.813	381.177	
143.096	380.217	
143.391	379.262	
143.700	378.310	
144.022	377.363	
144.355	376.420	
144.701	375.481	
145.058	374.546	
145.427	373.616	
145.807	372.691	
146.197	371.769	
146.597	370.853	
147.007	369.940	
147.426	369.031	
147.854	368.127	
148.291	367.227	
148.735	366.331	
149.188	365.438	
149.647	364.550	
150.113	363.665	
150.586	362.783	
151.065	361.904	
151.549	361.029	
152.038	360.156	
152.533	359.286	
153.031	358.419	
153.533	357.554	
154.039	356.691	
154.548	355.829	
155.060	354.970	
155.574	354.112	
156.091	353.254	
156.608	352.398	
157.127	351.543	
157.647	350.688	
158.167	349.833	
