 ,Value
1,3666.566
2,3680.661
3,3699.372
4,3752.903
5,3626.088
6,3674.914
7,3684.827
8,3689.743
9,3638.970
10,3632.800
11,3574.344
12,3578.422
13,3525.934
14,3550.663
15,3466.874
16,3560.790
17,3634.225
18,3571.545
19,3545.204
20,3564.315
21,3580.859
22,3546.412
23,3503.561
24,3562.805
25,3558.888
26,3567.055
27,3505.319
28,3474.791
29,3550.933
30,3545.857
31,3642.379
32,3564.895
33,3555.039
34,3584.991
35,3557.545
36,3511.264
37,3530.879
38,3597.466
39,3582.588
40,3502.851
41,3563.215
42,3569.197
43,3506.468
44,3500.848
45,3556.446
46,3551.292
47,3588.838
48,3530.140
49,3523.404
50,3541.572
51,3524.063
52,3532.064
53,3627.445
54,3510.016
55,3563.307
56,3539.008
57,3599.524
58,3518.894
59,3470.746
60,3533.342
61,3526.272
62,3523.527
63,3488.692
64,3496.318
65,3500.153
66,3533.987
67,3538.683
68,3516.495
69,3509.572
70,3506.308
71,3628.276
72,3563.340
73,3570.445
74,3536.099
75,3440.482
76,3500.638
77,3521.812
78,3517.938
79,3507.581
80,3478.937
81,3509.238
82,3504.452
83,3511.128
84,3507.934
85,3547.078
86,3536.892
87,3601.504
88,3550.579
89,3507.962
90,3570.620
91,3579.711
92,3550.357
93,3596.555
94,3585.396
95,3448.592
96,3469.741
97,3461.566
98,3446.235
99,3478.548
100,3464.108
101,3495.090
102,3485.080
103,3524.866
104,3568.075
105,3513.410
106,3450.457
107,3442.643
108,3439.888
109,3455.635
110,3474.085
111,3425.127
112,3464.665
113,3465.605
114,3490.842
115,3515.353
116,3455.813
117,3487.447
118,3459.153
119,3412.729
120,3443.271
121,3478.865
122,3436.681
123,3420.403
124,3385.507
125,3411.838
126,3440.261
127,3413.505
128,3422.635
129,3422.551
130,3458.335
131,3456.771
132,3482.207
133,3480.653
134,3465.676
135,3457.249
136,3484.882
137,3508.938
138,3480.424
139,3525.143
140,3574.032
141,3617.552
142,3561.587
143,3529.454
144,3548.456
145,3494.721
146,3521.297
147,3506.917
148,3508.048
149,3563.926
150,3493.745
151,3506.797
152,3548.880
153,3570.991
154,3557.216
155,3527.187
156,3501.474
157,3450.581
158,3459.611
159,3461.799
160,3459.448
161,3475.449
162,3523.359
163,3506.544
164,3471.674
165,3475.912
166,3486.445
167,3559.231
168,3518.374
169,3449.105
170,3490.398
171,3517.155
172,3490.783
173,3489.811
174,3454.586
175,3497.632
176,3495.649
177,3444.328
178,3422.917
179,3430.223
180,3445.445
181,3484.498
182,3508.924
183,3461.822
184,3467.323
185,3509.833
186,3488.461
187,3500.712
188,3495.048
189,3470.692
190,3461.497
191,3447.176
192,3460.777
193,3506.554
194,3475.065
195,3459.779
