X	Y
264.500	309.500
263.710	310.116
262.919	310.732
262.129	311.348
261.340	311.965
260.551	312.582
259.762	313.201
258.975	313.820
258.188	314.440
257.402	315.061
256.617	315.684
255.834	316.309
255.051	316.935
254.271	317.563
253.492	318.193
252.714	318.826
251.939	319.460
251.166	320.097
250.395	320.737
249.626	321.379
248.859	322.024
248.095	322.672
247.334	323.324
246.575	323.978
245.820	324.636
245.067	325.298
244.318	325.963
243.572	326.632
242.829	327.305
242.090	327.981
241.355	328.662
240.624	329.347
239.897	330.036
239.173	330.730
238.455	331.427
237.740	332.130
237.030	332.837
236.325	333.549
235.624	334.265
234.929	334.986
234.238	335.712
233.553	336.443
232.873	337.179
232.199	337.920
231.530	338.666
230.866	339.417
230.209	340.173
229.557	340.934
228.912	341.700
228.273	342.472
227.640	343.249
227.014	344.031
226.394	344.818
225.781	345.611
225.175	346.409
224.576	347.212
223.984	348.020
223.399	348.834
222.821	349.652
222.251	350.476
221.688	351.305
221.133	352.139
220.585	352.978
220.045	353.822
219.512	354.670
218.988	355.524
218.472	356.383
217.963	357.246
217.462	358.114
216.970	358.986
216.486	359.863
216.009	360.745
215.541	361.631
215.082	362.521
214.630	363.415
214.187	364.314
213.752	365.217
213.325	366.123
212.907	367.034
212.497	367.948
212.096	368.866
211.702	369.787
211.317	370.712
210.940	371.641
210.572	372.572
210.212	373.507
209.860	374.445
209.516	375.387
209.180	376.331
208.853	377.278
208.534	378.227
208.222	379.180
207.919	380.134
207.623	381.092
207.336	382.052
207.056	383.014
206.784	383.978
206.519	384.944
206.261	385.913
206.010	386.883
205.766	387.854
205.529	388.828
205.297	389.802
205.072	390.779
204.853	391.756
204.640	392.735
204.432	393.716
204.230	394.697
204.034	395.680
203.842	396.663
203.656	397.647
203.475	398.633
203.298	399.619
203.126	400.606
202.959	401.594
202.796	402.583
202.638	403.572
202.484	404.562
202.334	405.553
202.188	406.544
202.046	407.536
201.907	408.528
201.773	409.521
201.642	410.514
201.514	411.508
201.390	412.502
201.269	413.497
201.152	414.492
201.037	415.487
200.926	416.483
200.818	417.479
200.713	418.476
200.610	419.472
200.510	420.469
200.414	421.466
200.319	422.464
200.227	423.462
200.138	424.460
200.051	425.458
199.967	426.456
199.885	427.455
199.804	428.453
199.727	429.452
199.651	430.451
199.578	431.451
199.506	432.450
199.436	433.450
199.369	434.449
199.303	435.449
199.239	436.449
199.176	437.449
199.116	438.449
199.057	439.449
198.999	440.449
198.943	441.450
198.889	442.450
198.836	443.451
198.784	444.451
198.734	445.452
198.685	446.453
198.638	447.454
198.592	448.455
198.546	449.455
198.502	450.456
198.460	451.457
198.418	452.459
198.377	453.460
198.337	454.461
198.298	455.462
198.260	456.463
198.223	457.464
198.187	458.466
198.151	459.467
198.117	460.468
198.083	461.470
198.049	462.471
198.017	463.473
197.985	464.474
197.953	465.475
197.922	466.477
197.892	467.478
197.862	468.480
197.832	469.481
197.803	470.483
197.775	471.484
197.746	472.486
197.718	473.487
197.690	474.489
197.663	475.491
197.635	476.492
197.608	477.494
197.581	478.495
197.554	479.497
197.527	480.498
197.500	481.500
