 ,Value
1,3573.140
2,3540.080
3,3586.898
4,3567.061
5,3539.341
6,3574.936
7,3513.073
8,3465.757
9,3497.928
10,3559.314
11,3598.225
12,3600.570
13,3620.427
14,3626.580
15,3626.560
16,3582.646
17,3644.195
18,3672.537
19,3560.832
20,3651.772
21,3678.597
22,3633.612
23,3565.745
24,3573.434
25,3513.211
26,3515.020
27,3584.878
28,3546.834
29,3572.991
30,3563.200
31,3554.198
32,3520.314
33,3553.601
34,3550.486
35,3479.606
36,3525.722
37,3510.181
38,3557.344
39,3475.394
40,3497.375
41,3517.415
42,3516.599
43,3509.731
44,3497.602
45,3438.816
46,3497.074
47,3493.657
48,3428.282
49,3472.235
50,3538.720
51,3495.348
52,3480.279
53,3482.284
54,3473.503
55,3489.396
56,3509.431
57,3454.586
58,3436.151
59,3526.817
60,3474.741
61,3481.564
62,3477.356
63,3419.881
64,3507.447
65,3471.854
66,3421.408
67,3498.217
68,3569.105
69,3456.823
70,3472.758
71,3543.778
72,3531.589
73,3541.149
