 ,Value
1,3442.528
2,3501.371
3,3536.431
4,3634.003
5,3540.491
6,3482.135
7,3503.865
8,3502.099
9,3452.832
10,3517.955
11,3482.967
12,3460.241
13,3451.179
14,3444.879
15,3433.650
16,3426.478
17,3517.454
18,3506.181
19,3465.073
20,3421.511
21,3505.744
22,3485.984
23,3447.158
24,3487.529
25,3488.135
26,3415.801
27,3477.871
28,3401.184
29,3482.123
30,3517.270
31,3449.213
32,3469.292
33,3510.130
34,3437.760
35,3483.178
36,3468.141
37,3409.707
38,3503.541
39,3538.871
40,3554.309
41,3555.889
42,3496.974
43,3474.676
44,3471.370
45,3423.269
46,3425.300
47,3481.171
48,3548.659
49,3505.539
50,3500.400
51,3454.327
52,3588.379
53,3542.933
54,3500.302
55,3555.790
56,3566.532
