X	Y
169.500	469.500
169.711	470.478
169.922	471.456
170.133	472.434
170.344	473.412
170.555	474.390
170.766	475.368
170.976	476.346
171.187	477.324
171.397	478.302
171.608	479.280
171.818	480.258
172.028	481.237
172.238	482.215
172.447	483.193
172.657	484.171
172.866	485.150
173.074	486.128
173.283	487.107
173.491	488.085
173.699	489.064
173.907	490.043
174.114	491.021
174.321	492.000
174.527	492.979
174.733	493.958
174.939	494.937
175.144	495.916
175.349	496.896
175.554	497.875
175.757	498.855
175.961	499.834
176.164	500.814
176.366	501.794
176.568	502.774
176.769	503.754
176.970	504.734
177.170	505.714
177.369	506.694
177.568	507.675
177.766	508.656
177.964	509.636
178.160	510.617
178.356	511.598
178.552	512.580
178.746	513.561
178.940	514.542
179.133	515.524
179.326	516.506
179.517	517.488
179.708	518.470
179.898	519.452
180.087	520.435
180.275	521.417
180.462	522.400
180.648	523.383
180.834	524.366
181.018	525.350
181.202	526.333
181.384	527.317
181.566	528.301
181.746	529.285
181.926	530.269
182.104	531.254
182.281	532.238
182.457	533.223
182.632	534.208
182.806	535.193
182.979	536.179
183.151	537.164
183.321	538.150
183.491	539.136
183.659	540.123
183.825	541.109
183.991	542.096
184.155	543.083
184.318	544.070
184.480	545.057
184.640	546.045
184.799	547.032
184.957	548.020
185.113	549.009
185.267	549.997
185.421	550.986
185.573	551.974
185.723	552.964
185.872	553.953
186.020	554.942
186.166	555.932
186.311	556.922
186.454	557.912
186.596	558.903
186.737	559.893
186.876	560.884
187.014	561.875
187.151	562.866
187.286	563.857
187.421	564.849
187.554	565.840
187.686	566.832
187.816	567.824
187.946	568.816
188.074	569.808
188.201	570.800
188.327	571.793
188.452	572.786
188.576	573.778
188.698	574.771
188.820	575.764
188.940	576.758
189.060	577.751
189.179	578.744
189.296	579.738
189.413	580.732
189.528	581.725
189.643	582.719
189.757	583.713
189.870	584.707
189.982	585.701
190.093	586.696
190.203	587.690
190.312	588.685
190.421	589.679
190.529	590.674
190.636	591.668
190.742	592.663
190.848	593.658
190.953	594.653
191.057	595.648
191.160	596.643
191.263	597.638
191.365	598.634
191.467	599.629
191.568	600.624
191.668	601.620
191.768	602.615
191.867	603.611
191.966	604.606
192.064	605.602
192.162	606.598
192.259	607.593
192.356	608.589
192.452	609.585
192.548	610.581
192.644	611.577
192.739	612.573
192.834	613.569
192.928	614.565
193.022	615.561
193.116	616.557
193.210	617.553
193.303	618.549
193.396	619.545
193.489	620.541
193.581	621.538
193.674	622.534
193.766	623.530
193.858	624.526
193.950	625.522
194.042	626.519
194.134	627.515
194.225	628.511
194.317	629.507
194.408	630.504
194.500	631.500
