 ,Value
1,3466.633
2,3569.745
3,3531.242
4,3574.817
5,3573.571
6,3457.812
7,3565.421
8,3545.465
9,3523.783
10,3546.187
11,3437.877
12,3502.959
13,3446.095
14,3530.998
15,3504.542
16,3472.957
17,3485.408
18,3472.511
19,3433.491
20,3524.587
21,3500.037
22,3589.047
23,3594.191
24,3598.171
25,3530.562
26,3510.449
27,3531.822
28,3537.544
29,3553.844
30,3531.935
31,3450.566
32,3413.216
33,3494.236
34,3484.700
35,3499.180
36,3483.638
37,3513.308
38,3488.960
39,3477.851
40,3568.379
41,3473.085
42,3485.854
43,3505.934
44,3544.393
45,3484.367
46,3468.756
47,3520.785
48,3504.198
49,3518.060
50,3439.934
51,3477.134
52,3509.556
53,3523.486
54,3535.718
55,3537.450
56,3617.935
57,3525.582
58,3475.113
59,3550.551
60,3531.649
61,3581.828
62,3603.487
63,3551.220
64,3589.179
65,3646.841
66,3657.854
67,3623.256
68,3625.361
69,3544.100
70,3544.602
71,3509.446
72,3537.180
73,3538.242
74,3531.438
75,3604.072
76,3641.950
77,3684.556
78,3766.009
79,3773.999
80,3721.715
81,3624.498
82,3611.682
83,3617.813
84,3588.530
85,3643.458
86,3589.426
87,3526.913
88,3560.976
89,3567.297
90,3600.970
91,3618.303
92,3638.179
93,3632.464
94,3620.436
95,3612.667
96,3663.922
97,3704.402
98,3669.969
99,3648.445
100,3696.253
101,3729.145
102,3802.652
103,3787.520
104,3763.391
105,3793.789
106,3779.621
107,3729.179
108,3635.328
109,3604.792
110,3528.323
111,3551.611
112,3565.335
113,3549.388
114,3494.625
115,3586.422
116,3568.699
117,3544.718
118,3555.745
119,3532.989
120,3563.084
121,3614.983
122,3522.783
123,3541.589
124,3518.684
125,3538.175
126,3567.511
127,3548.927
128,3583.253
129,3614.542
130,3514.552
131,3536.120
132,3489.899
133,3513.315
134,3487.584
135,3492.781
136,3509.682
137,3545.061
138,3522.945
139,3551.170
140,3527.339
141,3502.861
142,3560.960
143,3512.360
144,3454.700
145,3478.884
146,3527.056
147,3457.503
148,3453.280
149,3484.020
150,3503.594
151,3439.343
152,3482.204
153,3499.816
154,3481.941
155,3508.078
156,3602.921
157,3510.653
158,3515.939
159,3545.581
160,3512.264
161,3483.493
162,3474.750
163,3453.665
164,3482.734
165,3479.160
166,3475.682
167,3463.231
168,3541.327
169,3422.329
170,3486.573
