X	Y
227.000	396.000
226.396	396.792
225.792	397.585
225.189	398.377
224.586	399.170
223.984	399.964
223.383	400.758
222.782	401.553
222.184	402.350
221.586	403.147
220.991	403.945
220.397	404.745
219.805	405.547
219.216	406.350
218.629	407.155
218.044	407.961
217.462	408.770
216.884	409.581
216.308	410.394
215.735	411.209
215.166	412.027
214.601	412.847
214.039	413.669
213.481	414.495
212.927	415.323
212.378	416.154
211.832	416.987
211.291	417.824
210.755	418.664
210.225	419.507
209.700	420.353
209.181	421.204
208.669	422.059
208.165	422.918
207.668	423.781
207.180	424.650
206.701	425.523
206.232	426.402
205.773	427.286
205.326	428.176
204.890	429.072
204.467	429.974
204.057	430.882
203.662	431.796
203.281	432.717
202.917	433.644
202.570	434.578
202.241	435.519
201.932	436.465
201.642	437.418
201.374	438.378
201.128	439.343
200.905	440.314
200.708	441.291
200.537	442.272
200.392	443.257
200.275	444.247
200.183	445.239
200.116	446.233
200.072	447.228
200.051	448.224
200.052	449.220
200.072	450.216
200.112	451.211
200.169	452.206
200.243	453.199
200.332	454.191
200.436	455.182
200.553	456.172
200.682	457.159
200.821	458.146
200.971	459.131
201.130	460.114
201.296	461.096
201.469	462.077
201.648	463.057
201.831	464.037
202.017	465.015
202.207	465.993
202.397	466.971
202.587	467.949
202.777	468.927
202.967	469.905
203.156	470.883
203.345	471.861
203.533	472.839
203.721	473.818
203.908	474.796
204.095	475.775
204.281	476.753
204.467	477.732
204.653	478.711
204.839	479.689
205.024	480.668
205.209	481.647
205.394	482.626
205.579	483.605
205.763	484.584
205.947	485.563
206.132	486.542
206.316	487.521
206.500	488.500
