 ,Value
1,3388.837
2,3417.780
3,3370.678
4,3339.550
5,3371.930
6,3367.728
7,3358.660
8,3377.572
9,3364.577
10,3378.530
11,3402.893
12,3360.413
13,3374.031
14,3362.110
15,3326.977
16,3355.058
17,3368.003
18,3410.504
19,3381.952
20,3381.485
21,3409.768
22,3389.750
23,3393.123
24,3383.062
25,3377.205
26,3412.054
27,3419.505
28,3398.227
29,3400.761
30,3378.258
31,3378.623
32,3421.885
33,3454.075
34,3412.002
35,3360.807
36,3352.175
37,3406.094
38,3389.780
39,3390.381
40,3387.273
41,3399.189
42,3416.956
43,3373.653
44,3433.414
45,3356.066
46,3351.725
47,3391.344
48,3358.688
49,3381.421
50,3387.874
51,3369.384
52,3376.546
53,3359.289
54,3352.068
55,3342.922
56,3346.237
57,3392.174
58,3343.989
59,3384.360
60,3345.537
61,3404.836
62,3402.340
63,3376.685
64,3346.275
