 ,Value
1,3540.822
2,3558.585
3,3546.761
4,3554.418
5,3600.283
6,3595.426
7,3551.861
8,3577.685
9,3544.045
10,3569.747
11,3548.408
12,3525.573
13,3576.762
14,3575.224
15,3561.275
16,3516.661
17,3482.459
18,3434.713
19,3476.120
20,3484.273
21,3460.404
22,3489.266
23,3547.666
24,3554.658
25,3497.820
26,3497.137
27,3455.679
28,3476.680
29,3427.692
30,3503.235
31,3567.344
32,3559.970
33,3515.548
34,3500.548
35,3480.586
36,3461.181
37,3445.046
38,3459.202
39,3479.942
40,3419.169
41,3438.639
42,3442.903
43,3543.344
44,3499.169
45,3486.022
46,3456.139
47,3517.181
48,3488.533
49,3495.167
50,3468.883
51,3471.557
52,3452.748
53,3438.063
54,3456.631
55,3511.981
56,3531.443
57,3494.916
58,3476.919
59,3485.676
60,3483.595
61,3452.515
62,3440.451
63,3493.887
64,3499.498
65,3482.800
66,3493.635
67,3507.594
68,3488.374
69,3530.890
70,3526.659
71,3480.505
72,3514.626
73,3480.801
74,3490.801
75,3465.761
76,3444.748
77,3505.378
78,3482.735
79,3478.794
80,3452.607
81,3465.192
82,3431.453
83,3504.345
84,3474.961
85,3520.920
86,3521.312
87,3546.276
88,3508.651
89,3502.433
90,3483.400
91,3507.460
92,3528.186
93,3484.876
94,3500.403
95,3534.286
96,3494.378
97,3483.560
98,3520.017
99,3504.834
100,3547.109
101,3526.416
102,3520.034
103,3503.631
104,3478.099
105,3484.424
106,3479.258
107,3544.087
108,3466.976
109,3502.715
110,3510.533
111,3482.728
112,3451.665
113,3492.502
114,3509.846
115,3513.492
116,3520.640
117,3445.396
118,3477.317
119,3525.659
